"tconst","averagerating","numvotes"
"tt1512098","5.9000","33"
"tt1512102","5.9000","67"
"tt1512893","3.4000","212"
"tt1515069","8.3000","15"
"tt1515208","6.3000","1447"
"tt1516577","5.3000","147"
"tt1516595","4.4000","64"
"tt1517225","7.4000","2189"
"tt1517605","8.7000","23"
"tt1521782","6.8000","19"
"tt1527710","7.7000","29"
"tt1527723","7.3000","9"
"tt1527821","6.1000","160"
"tt1528274","7.8000","11"
"tt1534084","4.5000","875"
"tt1535109","7.8000","387402"
"tt1535491","7.0000","3218"
"tt1535611","6.8000","20"
"tt1537385","8.0000","53"
"tt1538545","5.8000","821"
"tt1538833","7.2000","395"
"tt1538988","7.1000","224"
"tt1539042","5.5000","382"
"tt1539491","5.6000","55"
"tt1540074","7.9000","71"
"tt1545489","4.9000","137"
"tt1547032","7.0000","7"
"tt1549572","7.0000","85839"
"tt1555056","6.8000","20"
"tt1555187","2.0000","164"
"tt1558741","5.1000","430"
"tt1559035","7.5000","34"
"tt1560962","6.0000","7"
"tt1562295","7.0000","36"
"tt1563121","3.7000","40"
"tt1564368","4.7000","1522"
"tt1564870","5.6000","614"
"tt1569505","6.1000","231"
"tt1570962","5.8000","172"
"tt1571416","7.9000","75"
"tt1575538","8.2000","5"
"tt1575695","6.9000","14"
"tt1580346","6.9000","212"
"tt1582507","5.6000","66303"
"tt1582546","7.4000","2137"
"tt1583743","7.3000","100"
"tt1584131","3.7000","1071"
"tt1584146","3.4000","186"
"tt1587107","4.0000","8"
"tt1587699","7.0000","79"
"tt1592528","5.9000","30"
"tt1592531","5.9000","32"
"tt1593726","5.8000","44"
"tt1595379","7.4000","14"
"tt1595637","2.4000","310"
"tt1600197","3.0000","349"
"tt1603379","3.5000","102"
"tt1604709","5.1000","15"
"tt1606215","5.6000","118"
"tt1606706","7.3000","63"
"tt1608246","8.0000","26"
"tt1608290","4.7000","59914"
"tt1608345","8.4000","34"
"tt1609150","5.4000","36"
"tt1611878","7.8000","10"
"tt1612608","5.8000","1360"
"tt1614963","8.1000","9"
"tt1615477","6.8000","23"
"tt1615840","6.6000","578"
"tt1615902","5.4000","116"
"tt1618467","7.5000","84"
"tt1620785","7.1000","640"
"tt1624411","5.6000","32"
"tt1625155","7.4000","1636"
"tt1628022","7.8000","5"
"tt1628043","5.4000","195"
"tt1629739","7.3000","23"
"tt1629757","7.2000","28994"
"tt1630311","4.8000","32"
"tt1630607","3.5000","210"
"tt1633248","5.7000","56"
"tt1633334","8.4000","11"
"tt1635429","5.7000","110"
"tt1639427","6.3000","137"
"tt1640219","2.8000","114"
"tt1640484","5.7000","9089"
"tt1642248","5.6000","64"
"tt1645141","5.8000","148"
"tt1647446","5.5000","86"
"tt1650516","3.4000","491"
"tt1650533","7.4000","88"
"tt1651906","9.2000","9"
"tt1655416","6.2000","4670"
"tt1655420","7.0000","79337"
"tt1659253","6.5000","1603"
"tt1659343","5.1000","18206"
"tt1660393","5.7000","63"
"tt1661420","7.3000","12506"
"tt1662557","7.4000","4869"
"tt1662615","7.0000","46"
"tt1662634","7.2000","430"
"tt1663202","8.0000","621193"
"tt1664837","8.3000","25"
"tt1665807","7.2000","6"
"tt1667417","3.7000","484"
"tt1668191","7.5000","27146"
"tt1671494","5.6000","136"
"tt1671509","6.8000","23"
"tt1671513","7.8000","2553"
"tt1671714","7.1000","13"
"tt1671728","8.5000","21"
"tt1673732","8.0000","20"
"tt1674746","6.6000","10"
"tt1676132","7.7000","6"
"tt1678037","4.4000","275"
"tt1678052","5.2000","349"
"tt1679290","6.1000","108"
"tt1680045","6.2000","15096"
"tt1681370","5.3000","195"
"tt1682178","6.9000","138"
"tt1683040","6.5000","2826"
"tt1683919","4.3000","73"
"tt1686326","4.8000","113"
"tt1693106","5.8000","48"
"tt1695793","5.8000","395"
"tt1700274","8.1000","9"
"tt1701202","7.6000","78"
"tt1702016","4.2000","757"
"tt1703923","6.0000","657"
"tt1703958","5.8000","5997"
"tt1705877","6.6000","52"
"tt1706450","6.6000","3321"
"tt1709653","5.6000","602"
"tt1709657","8.1000","75"
"tt1709714","6.7000","75"
"tt1713439","6.0000","9"
"tt1714206","7.1000","133887"
"tt1715352","2.9000","257"
"tt1716746","7.7000","6"
"tt1717690","6.5000","86"
"tt1717736","7.2000","8"
"tt1719496","6.4000","160"
"tt1719671","6.9000","18"
"tt1720161","6.4000","10"
"tt1720293","6.4000","51"
"tt1721131","6.4000","13"
"tt1721494","6.1000","458"
"tt1721680","6.9000","15"
"tt1725995","7.6000","2309"
"tt1726589","5.6000","7229"
"tt1726661","5.2000","422"
"tt1727519","4.1000","458"
"tt1728196","7.4000","6636"
"tt1728217","4.6000","668"
"tt1728986","5.5000","7359"
"tt1729218","6.0000","623"
"tt1729659","7.7000","10"
"tt1733578","3.8000","2280"
"tt1734163","7.5000","147"
"tt1735350","4.2000","232"
"tt1735485","5.9000","18038"
"tt1735495","6.9000","105"
"tt1735952","6.9000","8"
"tt1736000","1.4000","5"
"tt1737724","6.1000","81"
"tt1740056","5.5000","52"
"tt1740117","8.7000","60"
"tt1740539","1.9000","636"
"tt1740684","6.1000","76"
"tt1745959","4.9000","56"
"tt1748055","8.7000","6"
"tt1748157","7.9000","7"
"tt1748212","7.3000","9"
"tt1753471","5.6000","55"
"tt1753577","7.8000","9"
"tt1753584","5.3000","3526"
"tt1753602","7.8000","18"
"tt1753728","7.9000","8"
"tt1753780","7.8000","11"
"tt1754602","7.8000","5"
"tt1754649","5.5000","13"
"tt1754750","4.8000","158"
"tt1754950","6.2000","5"
"tt1756828","3.4000","9"
"tt1758611","8.7000","15"
"tt1758741","6.4000","13"
"tt1758842","5.6000","41"
"tt1759727","7.3000","18"
"tt1763217","6.3000","289"
"tt1764164","6.2000","6"
"tt1764311","5.9000","24"
"tt1764500","7.6000","8"
"tt1765868","8.8000","5"
"tt1766009","5.4000","24"
"tt1766044","7.0000","468"
"tt1770757","4.2000","8"
"tt1772275","3.6000","7"
"tt1773528","7.8000","9"
"tt1773607","7.7000","19"
"tt1773790","6.0000","8"
"tt1776201","5.3000","427"
"tt1779471","7.8000","156"
"tt1780934","7.8000","10"
"tt1782562","6.7000","14"
"tt1783311","6.1000","799"
"tt1783377","7.0000","848"
"tt1783384","6.8000","37"
"tt1783392","5.0000","447"
"tt1783393","7.0000","87"
"tt1785525","7.9000","9"
"tt1786411","6.9000","16"
"tt1786652","8.0000","27"
"tt1787047","5.8000","19"
"tt1787741","4.2000","12"
"tt1787777","6.9000","3159"
"tt1789077","6.5000","17"
"tt1791681","3.9000","1890"
"tt1792647","6.8000","7643"
"tt1792801","5.9000","18"
"tt1793223","5.6000","1969"
"tt1793290","6.5000","6"
"tt1793296","6.1000","8"
"tt1796580","7.5000","42"
"tt1796652","7.5000","1503"
"tt1797449","6.1000","878"
"tt1798162","6.3000","16"
"tt1798164","5.4000","27"
"tt1801512","6.2000","6"
"tt1802827","8.9000","19"
"tt1808197","6.5000","10445"
"tt1808208","4.0000","425"
"tt1810756","4.4000","10"
"tt1813152","8.6000","7"
"tt1814768","7.6000","16"
"tt1815605","4.3000","9"
"tt1815707","6.9000","65"
"tt1815836","6.9000","240"
"tt1817711","6.3000","56"
"tt0758752","6.7000","167680"
"tt0775461","5.4000","70"
"tt0800054","7.8000","68"
"tt0800092","4.3000","6"
"tt0816362","6.7000","223"
"tt0825282","6.5000","121"
"tt0960864","7.0000","109"
"tt0978812","6.4000","9"
"tt0979434","5.0000","10042"
"tt0985694","6.6000","182320"
"tt10062286","5.9000","14"
"tt10075374","8.3000","6"
"tt10174464","7.3000","7"
"tt10243678","6.5000","1394"
"tt10254986","7.0000","15"
"tt6494520","4.3000","12"
"tt6500762","6.0000","25"
"tt6505826","5.5000","130"
"tt6506146","5.0000","670"
"tt6522546","6.8000","7930"
"tt6523386","6.9000","117"
"tt6547822","3.7000","26"
"tt6555772","5.8000","1826"
"tt6558114","4.8000","221"
"tt6579530","4.8000","28"
"tt6582734","6.4000","68"
"tt6589292","6.0000","246"
"tt6590978","8.0000","36"
"tt6594022","3.9000","94"
"tt6594148","5.4000","31"
"tt6597044","6.2000","6"
"tt6599256","8.3000","116"
"tt6612178","7.9000","35"
"tt6634906","7.6000","14"
"tt6636878","7.9000","9"
"tt6677500","4.5000","223"
"tt6679412","6.2000","959"
"tt6688136","5.9000","2615"
"tt6704014","6.6000","83"
"tt6705988","8.1000","16"
"tt6710772","7.4000","50"
"tt6712026","7.1000","1598"
"tt6720674","6.5000","27"
"tt6725484","7.1000","590"
"tt6730644","6.5000","8"
"tt6731592","7.9000","95"
"tt6737494","8.9000","23"
"tt6742252","7.5000","25267"
"tt6745192","6.8000","12"
"tt6749456","8.9000","12"
"tt6750506","5.9000","119"
"tt6751046","7.6000","18"
"tt6764122","7.1000","308"
"tt6769280","5.7000","3455"
"tt6778706","7.9000","11"
"tt6780706","9.4000","18"
"tt6806804","7.6000","7"
"tt6808782","5.9000","12"
"tt6828530","6.3000","132"
"tt6831278","7.0000","5"
"tt6844416","6.4000","7"
"tt6845800","8.2000","9"
"tt6850078","9.2000","18"
"tt6854248","6.6000","1454"
"tt6857040","4.6000","731"
"tt6857298","5.2000","5"
"tt6858020","6.1000","308"
"tt6866652","3.3000","34"
"tt6867356","9.1000","9"
"tt6870220","8.6000","5"
"tt6871240","8.2000","5"
"tt6888762","7.9000","10"
"tt6892088","7.8000","10"
"tt6901904","7.6000","7"
"tt6910380","7.5000","37"
"tt6920930","4.6000","91"
"tt6922138","9.2000","17"
"tt6925132","5.4000","5"
"tt6925204","5.4000","14"
"tt6936264","6.2000","6"
"tt6943606","8.0000","9"
"tt6947800","6.9000","93"
"tt6954970","8.2000","6"
"tt6955130","6.1000","41"
"tt6982394","7.9000","8"
"tt6983064","6.7000","6"
"tt6998228","5.9000","99"
"tt7004152","7.0000","88"
"tt7008774","4.5000","6"
"tt7012864","6.3000","1490"
"tt7021436","7.3000","17"
"tt7024660","8.1000","26"
"tt7026270","8.1000","28"
"tt7027278","6.0000","4189"
"tt7030048","5.2000","22"
"tt7056470","6.8000","33"
"tt7063474","7.9000","10"
"tt7076838","5.6000","57"
"tt7089878","7.2000","503"
"tt7093188","8.2000","24"
"tt7108862","3.7000","145"
"tt7112166","5.4000","31"
"tt7122516","7.5000","13"
"tt7134214","7.5000","16"
"tt7142712","7.1000","114"
"tt7149066","6.5000","39"
"tt7158582","7.4000","439"
"tt7158686","5.1000","873"
"tt7164084","6.9000","11"
"tt7166214","6.8000","185"
"tt7185492","3.7000","423"
"tt7198146","8.0000","5"
"tt7205630","6.0000","601"
"tt7208564","5.3000","2972"
"tt7211010","7.6000","144"
"tt7217128","5.7000","176"
"tt7223050","5.6000","398"
"tt7225716","4.0000","15"
"tt7228676","4.1000","9"
"tt7239688","7.3000","28"
"tt7254768","7.0000","36"
"tt7256866","5.2000","7728"
"tt7259100","5.1000","160"
"tt7262052","6.6000","299"
"tt7269624","7.0000","7"
"tt7274816","3.7000","7"
"tt7275980","5.1000","28"
"tt7277330","8.6000","5"
"tt7290740","6.3000","40"
"tt7293844","7.2000","26"
"tt7293920","6.8000","20"
"tt7298028","9.1000","28"
"tt7305634","7.9000","35"
"tt7313218","6.7000","87"
"tt7315526","4.9000","1466"
"tt7315648","6.0000","27"
"tt7316206","5.9000","35"
"tt7323332","6.0000","195"
"tt7341988","4.8000","32"
"tt7342204","7.4000","1105"
"tt7345928","6.5000","57"
"tt7361790","4.9000","13"
"tt7363356","7.2000","10"
"tt7370188","6.9000","310"
"tt7374968","6.8000","43"
"tt7375556","5.4000","115"
"tt7382572","6.4000","44"
"tt7385518","7.4000","18"
"tt7385580","8.5000","14"
"tt7388694","6.5000","24"
"tt7389918","7.3000","6"
"tt7390044","6.4000","69"
"tt7390380","7.0000","54"
"tt7399124","7.1000","410"
"tt7403574","5.1000","81"
"tt7404894","6.7000","9"
"tt7407950","6.9000","19"
"tt7411202","8.8000","10"
"tt7412738","6.3000","793"
"tt7416102","5.2000","50"
"tt7418296","6.1000","7"
"tt7419468","6.3000","236"
"tt7421764","5.4000","7"
"tt7424410","4.2000","103"
"tt7429318","7.1000","46"
"tt7429708","6.2000","867"
"tt7433980","6.8000","110"
"tt7436642","7.7000","1842"
"tt7446940","4.3000","6"
"tt7451284","5.6000","13943"
"tt7457108","5.1000","51"
"tt7460834","7.9000","26"
"tt7461982","8.5000","6"
"tt7467324","6.6000","377"
"tt7469978","5.2000","151"
"tt7470398","8.0000","5"
"tt7475708","7.2000","22"
"tt7484546","5.6000","9"
"tt7520478","3.6000","13"
"tt7521000","6.4000","75"
"tt7521846","4.3000","289"
"tt7524472","6.8000","8"
"tt7526316","6.9000","23"
"tt7526492","8.2000","93"
"tt7533152","7.6000","10725"
"tt7533756","7.0000","200"
"tt7541970","9.7000","6"
"tt7542576","5.8000","1054"
"tt7542928","7.4000","12"
"tt7553526","8.3000","13"
"tt7558166","5.6000","85"
"tt7569402","9.0000","7"
"tt7572744","7.3000","340"
"tt7575400","2.7000","55"
"tt7592540","8.3000","7"
"tt7600780","7.5000","8"
"tt7603154","8.3000","14"
"tt7604636","5.9000","14"
"tt7606796","7.8000","33"
"tt7606826","5.8000","6"
"tt7610008","8.0000","921"
"tt7620732","3.6000","37"
"tt7628458","7.2000","2218"
"tt7631320","3.6000","168"
"tt7632870","6.5000","8"
"tt7639236","6.7000","6"
"tt7674116","8.9000","14"
"tt7675596","6.7000","14"
"tt7686386","5.0000","72"
"tt7689964","7.5000","8071"
"tt7690670","5.0000","4753"
"tt7693236","7.9000","19"
"tt7708146","5.4000","138"
"tt7710836","6.6000","7"
"tt7730492","5.8000","116"
"tt7748852","8.3000","20"
"tt7752880","6.1000","38"
"tt7762194","1.0000","67"
"tt7766166","5.7000","7"
"tt7770192","5.7000","725"
"tt7770232","7.7000","45"
"tt7783776","6.2000","29"
"tt7791218","6.4000","464"
"tt7794400","8.3000","36"
"tt7802246","8.2000","38"
"tt7809214","4.3000","26"
"tt7817234","3.1000","17"
"tt7820502","5.8000","38"
"tt7822320","7.2000","388"
"tt7827728","6.0000","9"
"tt7848100","7.6000","26"
"tt7852572","9.0000","5"
"tt7858220","7.2000","12"
"tt7868256","8.8000","13"
"tt7882250","6.2000","83"
"tt7891828","6.4000","7"
"tt7894140","8.4000","5"
"tt7895368","9.0000","7"
"tt7921282","7.1000","80"
"tt7928214","6.3000","56"
"tt7929502","7.2000","5"
"tt7948406","9.1000","12"
"tt7955106","8.0000","283"
"tt7958740","7.5000","87"
"tt7963218","1.7000","597"
"tt7971756","7.2000","27"
"tt7972100","5.6000","7"
"tt7976486","7.0000","85"
"tt7976502","4.4000","112"
"tt7977310","6.6000","42"
"tt7984730","8.8000","203"
"tt7989520","8.4000","5"
"tt8001954","6.8000","10"
"tt8019076","6.1000","8"
"tt8026954","7.5000","19"
"tt8041618","8.1000","46"
"tt8045100","8.5000","6"
"tt8058904","5.9000","126"
"tt8064342","5.5000","106"
"tt8071724","7.0000","5"
"tt8076344","7.3000","579"
"tt8096198","8.7000","15"
"tt8103460","3.1000","16"
"tt8106590","9.0000","9"
"tt8108194","7.3000","6"
"tt8108198","8.5000","43409"
"tt8108208","6.2000","1420"
"tt8108212","7.1000","46"
"tt8110450","4.2000","5"
"tt8110590","7.9000","7"
"tt8128672","5.5000","89"
"tt8129312","4.2000","6"
"tt8129666","8.6000","8"
"tt8142462","6.6000","17"
"tt8144954","7.3000","38"
"tt8171974","6.2000","180"
"tt8196200","7.9000","66"
"tt8209632","5.5000","24"
"tt8220332","3.8000","295"
"tt8236398","6.3000","144"
"tt8260954","5.9000","17"
"tt8269378","6.7000","176"
"tt8286436","7.3000","7"
"tt8294696","9.2000","22"
"tt8320168","8.0000","6"
"tt8322828","6.0000","193"
"tt8346446","6.9000","183"
"tt8356200","6.9000","14"
"tt8359842","7.7000","70"
"tt8383694","6.1000","24"
"tt8387376","5.1000","10"
"tt8396232","6.6000","12"
"tt8396486","7.5000","11"
"tt8401098","7.8000","13"
"tt8420672","2.4000","70"
"tt8423080","8.1000","81"
"tt8426644","7.9000","10"
"tt8430866","8.1000","68"
"tt8475490","8.5000","19"
"tt8503170","6.6000","23"
"tt8503240","7.6000","11"
"tt8508676","7.3000","7"
"tt8510324","5.6000","975"
"tt8526530","2.3000","29"
"tt8539876","9.5000","6"
"tt8550652","6.7000","45"
"tt8556014","7.9000","25"
"tt8558596","4.8000","88"
"tt8569390","6.3000","168"
"tt8579840","5.5000","27"
"tt8580948","8.8000","33"
"tt8587122","6.0000","278"
"tt8593814","9.3000","50"
"tt8602902","7.8000","5"
"tt8609374","5.1000","30"
"tt8617648","3.8000","163"
"tt8653640","8.3000","13"
"tt8660466","5.9000","8"
"tt8679160","6.7000","30"
"tt8682630","8.9000","23"
"tt8682932","5.8000","5"
"tt8684786","5.5000","22"
"tt8698560","6.5000","44"
"tt8705364","8.5000","6"
"tt8714366","7.3000","15"
"tt8718066","7.2000","20"
"tt8722030","1.7000","28"
"tt8756098","7.2000","26"
"tt8763008","5.7000","254"
"tt8769370","5.6000","5"
"tt8793222","9.0000","6"
"tt8814978","6.3000","22"
"tt8820198","8.4000","16"
"tt8828434","7.7000","72"
"tt8835552","7.0000","143"
"tt8837044","5.1000","152"
"tt8842320","6.5000","19"
"tt8852242","7.3000","45"
"tt8857350","6.8000","12"
"tt8883524","6.9000","48"
"tt8886288","6.8000","9"
"tt8903540","8.2000","5"
"tt8933330","3.7000","12"
"tt8976472","6.6000","27"
"tt8977440","2.3000","25"
"tt8996488","7.8000","5"
"tt8997034","5.2000","38"
"tt9001652","9.2000","8"
"tt9015764","6.7000","32"
"tt9024664","7.1000","41"
"tt9025292","8.4000","5"
"tt9053030","7.2000","17"
"tt9061192","7.5000","8"
"tt9080630","2.1000","112"
"tt9088588","7.3000","40"
"tt9094980","7.0000","45"
"tt9114436","6.7000","37"
"tt9115662","6.4000","12"
"tt9118870","6.7000","504"
"tt9130246","8.6000","558"
"tt9139040","7.9000","46"
"tt9141128","7.1000","295"
"tt9154776","3.0000","30"
"tt9159000","6.5000","12"
"tt9190740","8.3000","39"
"tt9204352","6.4000","201"
"tt9233172","8.1000","8"
"tt9249222","9.0000","5"
"tt9310460","5.9000","43"
"tt9353436","7.6000","36"
"tt9356320","7.3000","6"
"tt9358044","6.8000","628"
"tt9358256","7.3000","79"
"tt9359942","7.2000","5"
"tt9363366","8.7000","7"
"tt9447768","7.1000","7"
"tt9450542","4.0000","99"
"tt9529752","1.7000","20"
"tt9562694","2.6000","1509"
"tt9567548","7.8000","327"
"tt9593792","6.1000","39"
"tt9644084","5.2000","5"
"tt9648942","6.7000","403"
"tt9657946","6.0000","16"
"tt9659470","4.5000","456"
"tt9703880","7.5000","23"
"tt9723084","6.7000","35"
"tt9726638","6.0000","6"
"tt9762928","5.9000","15"
"tt9800694","5.4000","7"
"tt9827784","7.7000","6"
"tt9833362","8.4000","7"
"tt9838372","5.7000","46"
"tt9845012","8.0000","10"
"tt9865446","8.5000","32"
"tt0066787","7.2000","43"
"tt0844699","9.0000","5"
"tt0844915","7.5000","56"
"tt0847735","4.5000","15"
"tt0879870","5.8000","77709"
"tt0892318","6.6000","86137"
"tt0959329","5.5000","11358"
"tt0960067","6.9000","83"
"tt0988655","4.7000","185"
"tt10011448","9.4000","7"
"tt10016532","6.1000","152"
"tt10066162","6.5000","88"
"tt10078894","2.3000","30"
"tt10122038","7.6000","78"
"tt1015471","6.2000","1888"
"tt10179072","6.1000","10"
"tt10204316","7.6000","5"
"tt1020982","6.6000","147"
"tt10262346","6.3000","7"
"tt10308686","9.3000","15"
"tt10312668","8.9000","2111"
"tt10338308","7.0000","74"
"tt1053835","6.2000","348"
"tt1071783","4.7000","64"
"tt1071872","7.1000","33"
"tt1079964","5.0000","576"
"tt1091212","6.5000","338"
"tt1092634","6.4000","8662"
"tt1111900","7.8000","12"
"tt1127897","5.4000","352"
"tt1137473","7.7000","6"
"tt1183352","6.7000","415"
"tt1193626","6.8000","166"
"tt1201607","8.1000","691835"
"tt1225703","6.0000","453"
"tt1228705","7.0000","657690"
"tt1230120","5.5000","12"
"tt1232775","6.4000","483"
"tt1232828","5.9000","50"
"tt1235430","6.3000","31"
"tt1247673","5.1000","182"
"tt1274639","5.5000","137"
"tt1277373","6.2000","156"
"tt1279105","4.1000","127"
"tt1282100","6.7000","9"
"tt1285240","5.6000","1321"
"tt1294212","5.6000","263"
"tt1296881","5.2000","576"
"tt1298655","8.5000","6"
"tt1303680","3.8000","200"
"tt1316033","4.9000","16"
"tt1329320","7.8000","31"
"tt1332110","4.4000","229"
"tt1338705","2.6000","41"
"tt1345444","6.7000","173"
"tt1345505","6.1000","127"
"tt1345834","7.1000","547"
"tt1352380","6.7000","740"
"tt1362518","7.2000","437"
"tt1363368","6.9000","27"
"tt1365483","4.7000","2397"
"tt1373403","2.4000","148"
"tt1378811","2.4000","246"
"tt1380190","5.2000","240"
"tt1380995","5.1000","208"
"tt1382720","5.5000","250"
"tt1383705","5.1000","660"
"tt1388369","5.3000","74"
"tt1398028","5.1000","644"
"tt1400502","8.6000","85"
"tt1408029","5.1000","16"
"tt1410198","4.6000","313"
"tt1414353","6.4000","69"
"tt1417054","6.7000","112"
"tt1419453","8.3000","23"
"tt1423953","7.3000","839"
"tt1429445","6.2000","95"
"tt1437354","5.5000","438"
"tt1438214","5.0000","102"
"tt1440161","6.3000","26441"
"tt1450651","5.5000","74"
"tt1453262","6.3000","111"
"tt1458408","8.2000","17"
"tt1458730","7.3000","28"
"tt1460646","3.2000","239"
"tt1483386","7.2000","676"
"tt1486652","5.0000","5"
"tt1489889","6.3000","138872"
"tt1490753","6.8000","72"
"tt1490785","5.8000","5658"
"tt1491603","3.6000","1388"
"tt1493816","2.9000","30"
"tt1496374","7.7000","10"
"tt1500694","4.6000","121"
"tt1502422","6.5000","332"
"tt1506998","5.7000","379"
"tt1510926","5.9000","345"
"tt1511354","5.6000","39"
"tt1511362","8.0000","9"
"tt1515941","8.1000","36"
"tt1517260","5.9000","105633"
"tt1517506","5.2000","497"
"tt1519640","6.1000","785"
"tt1520956","4.5000","1420"
"tt1521223","6.9000","457"
"tt1526284","5.6000","3793"
"tt1526616","8.6000","7"
"tt1527721","8.0000","15"
"tt1529292","6.4000","554"
"tt1531683","8.5000","15"
"tt1533749","6.9000","17777"
"tt1534834","8.2000","10"
"tt1537485","7.7000","10"
"tt1539146","6.3000","21"
"tt1540995","7.2000","17"
"tt1543004","6.2000","405"
"tt1544589","8.0000","8"
"tt1546401","5.1000","26"
"tt1546985","7.2000","5"
"tt1550643","5.6000","10"
"tt1550902","7.0000","600"
"tt1555440","6.4000","1097"
"tt1563127","7.2000","27"
"tt1563712","6.5000","41"
"tt1565064","7.7000","771"
"tt1566501","6.6000","4202"
"tt1567127","5.5000","182"
"tt1567611","7.1000","27"
"tt1570103","7.4000","18"
"tt1572169","5.3000","43"
"tt1572501","5.8000","502"
"tt1572769","6.9000","2070"
"tt1578709","4.3000","323"
"tt1579391","6.5000","19"
"tt1582482","5.9000","11"
"tt1582483","5.3000","25"
"tt1582567","7.3000","6"
"tt1583279","7.2000","22"
"tt1585660","6.7000","23"
"tt1586001","7.2000","5969"
"tt1586516","7.5000","67"
"tt1587220","6.4000","18"
"tt1590193","6.3000","83114"
"tt1590231","7.8000","9"
"tt1590970","6.4000","159"
"tt1591123","5.5000","217"
"tt1592583","4.2000","38"
"tt1592893","4.8000","8"
"tt1594537","4.9000","11"
"tt1595366","7.6000","4895"
"tt1595633","7.4000","13"
"tt1596753","6.7000","2314"
"tt1596771","5.8000","144"
"tt1597725","6.1000","357"
"tt1599296","6.2000","2188"
"tt1601913","6.8000","228798"
"tt1603362","8.4000","2058"
"tt1603489","6.4000","118"
"tt1603933","4.2000","689"
"tt1605777","5.4000","5581"
"tt1607562","7.8000","24"
"tt1608285","6.3000","478"
"tt1608777","7.1000","4795"
"tt1609159","6.9000","2015"
"tt1609168","8.0000","4287"
"tt1611224","5.9000","142853"
"tt1611907","4.5000","204"
"tt1612305","6.7000","89"
"tt1612317","8.3000","398"
"tt1612610","8.5000","32"
"tt1613032","5.6000","25"
"tt1613046","3.1000","102"
"tt1615028","8.1000","7"
"tt1616543","7.2000","1104"
"tt1618442","6.0000","86118"
"tt1619826","8.5000","11"
"tt1621896","8.1000","10"
"tt1622991","2.8000","1028"
"tt1623280","6.7000","206"
"tt1624385","3.4000","355"
"tt1628016","7.3000","6"
"tt1633224","6.2000","443"
"tt1633281","8.4000","17"
"tt1637718","6.2000","10"
"tt1638364","7.3000","6850"
"tt1640617","5.0000","39"
"tt1644655","6.0000","360"
"tt1645157","5.1000","9"
"tt1646127","6.4000","971"
"tt1646961","7.7000","73"
"tt1646962","6.2000","280"
"tt1646981","5.9000","363"
"tt1647360","5.1000","9"
"tt1648112","6.4000","13864"
"tt1648168","4.7000","87"
"tt1651072","5.3000","7"
