"region","indicator","Unit","Date","Value"
"Arusha","Revenue Collection (Tshs)","Tshs","2011","4439919207"
"Arusha","Revenue Collection (Tshs)","Tshs","2012","4805714687"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","167"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","159"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","173"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","162"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","126"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","156"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","171"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","194"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","202"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","193"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","223"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","296"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","236"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","269"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","240"
"Arusha","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","286"
"Babati","Total Water production (cubic metres)","cubic meters","2009","1063277"
"Babati","Total Water production (cubic metres)","cubic meters","2010","1150694"
"Babati","Total Water production (cubic metres)","cubic meters","2011","1102056"
"Babati","Total Water production (cubic metres)","cubic meters","2012","1109955"
"Babati","Estimated Water Demand (cubic metres)","cubic meters","2009","1464000"
"Babati","Revenue Collection (Tshs)","Tshs","2009","273180975"
"Babati","Revenue Collection (Tshs)","Tshs","2010","412582337"
"Babati","Revenue Collection (Tshs)","Tshs","2011","545791770"
"Babati","Revenue Collection (Tshs)","Tshs","2012","578144517"
"Bukoba","Total Water production (cubic metres)","cubic meters","2009","2250451"
"Bukoba","Total Water production (cubic metres)","cubic meters","2010","2290311"
"Bukoba","Total Water production (cubic metres)","cubic meters","2011","2379843"
"Bukoba","Total Water production (cubic metres)","cubic meters","2012","2812072"
"Bukoba","Estimated Water Demand (cubic metres)","cubic meters","2009","2737500"
"Bukoba","Revenue Collection (Tshs)","Tshs","2009","712297315"
"Bukoba","Revenue Collection (Tshs)","Tshs","2010","781849481"
"Bukoba","Revenue Collection (Tshs)","Tshs","2011","856364230"
"Bukoba","Revenue Collection (Tshs)","Tshs","2012","1130847335"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","791"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","754"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","823"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","771"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","836"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","957"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","1110"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","1077"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","1130"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","1198"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","0"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","0"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","0"
"Dar es Salaam","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","94"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","0"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","1263"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","1110"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","1136"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","1574"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","1641"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","1200"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","1789"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","1664"
"Dar es Salaam & Coast","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","1847"
"Dodoma","Total Water production (cubic metres)","cubic meters","2009","9620136"
"Dodoma","Total Water production (cubic metres)","cubic meters","2010","9667795"
"Dodoma","Total Water production (cubic metres)","cubic meters","2011","9891546"
"Dodoma","Total Water production (cubic metres)","cubic meters","2012","10433535"
"Dodoma","Estimated Water Demand (cubic metres)","cubic meters","2009","10759000"
"Dodoma","Revenue Collection (Tshs)","Tshs","2009","3596944605"
"Dodoma","Revenue Collection (Tshs)","Tshs","2010","4080208091"
"Dodoma","Revenue Collection (Tshs)","Tshs","2011","5319580534"
"Dodoma","Revenue Collection (Tshs)","Tshs","2012","6218098840"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","39"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","37"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","40"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","37"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","40"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","39"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","43"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","46"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","48"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","49"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","59"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","68"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","79"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","83"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","86"
"Dodoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","94"
"Iringa","Total Water production (cubic metres)","cubic meters","2009","3986958"
"Iringa","Total Water production (cubic metres)","cubic meters","2010","4229160"
"Iringa","Total Water production (cubic metres)","cubic meters","2011","4901651"
"Iringa","Total Water production (cubic metres)","cubic meters","2012","7230917"
"Iringa","Estimated Water Demand (cubic metres)","cubic meters","2009","5110000"
"Iringa","Revenue Collection (Tshs)","Tshs","2009","1802106522"
"Iringa","Revenue Collection (Tshs)","Tshs","2010","2129065911"
"Iringa","Revenue Collection (Tshs)","Tshs","2011","2543391568"
"Iringa","Revenue Collection (Tshs)","Tshs","2012","3221320841"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","90"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","86"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","93"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","87"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","41"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","69"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","62"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","59"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","60"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","61"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","79"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","79"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","85"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","101"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","92"
"Iringa","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","102"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","18"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","17"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","17"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","16"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","161"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","18"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","18"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","20"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","28"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","35"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","36"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","37"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","33"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","44"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","29"
"Kagera","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","55"
"Kigoma","Total Water production (cubic metres)","cubic meters","2009","2551254"
"Kigoma","Total Water production (cubic metres)","cubic meters","2010","3117511"
"Kigoma","Total Water production (cubic metres)","cubic meters","2011","4684263"
"Kigoma","Total Water production (cubic metres)","cubic meters","2012","5148765"
"Kigoma","Estimated Water Demand (cubic metres)","cubic meters","2009","9416000"
"Kigoma","Revenue Collection (Tshs)","Tshs","2009","451651702"
"Kigoma","Revenue Collection (Tshs)","Tshs","2010","502410725"
"Kigoma","Revenue Collection (Tshs)","Tshs","2011","815222870"
"Kigoma","Revenue Collection (Tshs)","Tshs","2012","1540273313"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","9"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","9"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","9"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","8"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","7"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","10"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","9"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","13"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","9"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","12"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","10"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","12"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","12"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","16"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","18"
"Kigoma","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","21"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","112"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","107"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","116"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","109"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","106"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","91"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","106"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","101"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","102"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","96"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","110"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","109"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","88"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","124"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","118"
"Kilimanjaro","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","138"
"Lindi","Total Water production (cubic metres)","cubic meters","2009","402125"
"Lindi","Total Water production (cubic metres)","cubic meters","2010","328902"
"Lindi","Total Water production (cubic metres)","cubic meters","2011","268133"
"Lindi","Total Water production (cubic metres)","cubic meters","2012","302159"
"Lindi","Estimated Water Demand (cubic metres)","cubic meters","2009","1800000"
"Lindi","Revenue Collection (Tshs)","Tshs","2009","198673439"
"Lindi","Revenue Collection (Tshs)","Tshs","2010","203796544"
"Lindi","Revenue Collection (Tshs)","Tshs","2011","175506149"
"Lindi","Revenue Collection (Tshs)","Tshs","2012","322656268"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","5"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","5"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","6"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","6"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","5"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","9"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","8"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","10"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","10"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","12"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","12"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","11"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","11"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","13"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","14"
"Lindi","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","15"
"Manyara","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","14"
"Manyara","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","17"
"Manyara","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","19"
"Manyara","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","20"
"Manyara","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","23"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","18"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","17"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","20"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","19"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","18"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","24"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","29"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","42"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","47"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","40"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","95"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","44"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","52"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","110"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","109"
"Mara","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","108"
"Mbeya","Total Water production (cubic metres)","cubic meters","2009","11051297"
"Mbeya","Total Water production (cubic metres)","cubic meters","2010","11236254"
"Mbeya","Total Water production (cubic metres)","cubic meters","2011","10793446"
"Mbeya","Total Water production (cubic metres)","cubic meters","2012","12788166"
"Mbeya","Estimated Water Demand (cubic metres)","cubic meters","2009","11656050"
"Mbeya","Revenue Collection (Tshs)","Tshs","2009","2925542714"
"Mbeya","Revenue Collection (Tshs)","Tshs","2010","3339539484"
"Mbeya","Revenue Collection (Tshs)","Tshs","2011","3772790461"
"Mbeya","Revenue Collection (Tshs)","Tshs","2012","4366757972"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","69"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","66"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","71"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","67"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","86"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","81"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","84"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","105"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","95"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","99"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","109"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","115"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","125"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","139"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","132"
"Mbeya","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","150"
"Morogoro","Total Water production (cubic metres)","cubic meters","2009","8663000"
"Morogoro","Total Water production (cubic metres)","cubic meters","2010","8900610"
"Morogoro","Total Water production (cubic metres)","cubic meters","2011","8800245"
"Morogoro","Total Water production (cubic metres)","cubic meters","2012","8799500"
"Morogoro","Estimated Water Demand (cubic metres)","cubic meters","2009","10386000"
"Morogoro","Revenue Collection (Tshs)","Tshs","2009","3553517009"
"Morogoro","Revenue Collection (Tshs)","Tshs","2010","3801407363"
"Morogoro","Revenue Collection (Tshs)","Tshs","2011","4730546495"
"Morogoro","Revenue Collection (Tshs)","Tshs","2012","5442333000"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","102"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","97"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","105"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","98"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","73"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2002","87"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2003","80"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2004","86"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2005","113"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2006","107"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2007","119"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2008","136"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2009","121"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2010","179"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2011","163"
"Morogoro","Quantity of Electricity Sold by Region (Gwh)","GWh","2012","207"
"Moshi","Total Water production (cubic metres)","cubic meters","2009","8815529"
"Moshi","Total Water production (cubic metres)","cubic meters","2010","9102782"
"Moshi","Total Water production (cubic metres)","cubic meters","2011","9189308"
"Moshi","Total Water production (cubic metres)","cubic meters","2012","9417445"
"Moshi","Estimated Water Demand (cubic metres)","cubic meters","2009","8820000"
"Moshi","Revenue Collection (Tshs)","Tshs","2009","2777756215"
"Moshi","Revenue Collection (Tshs)","Tshs","2010","3102872040"
"Moshi","Revenue Collection (Tshs)","Tshs","2011","3710388357"
"Moshi","Revenue Collection (Tshs)","Tshs","2012","3815735410"
"Mtwara","Total Water production (cubic metres)","cubic meters","2009","1905807"
"Mtwara","Total Water production (cubic metres)","cubic meters","2010","1659664"
"Mtwara","Total Water production (cubic metres)","cubic meters","2011","2285218"
"Mtwara","Total Water production (cubic metres)","cubic meters","2012","2070828"
"Mtwara","Estimated Water Demand (cubic metres)","cubic meters","2009","3816000"
"Mtwara","Revenue Collection (Tshs)","Tshs","2009","951483379"
"Mtwara","Revenue Collection (Tshs)","Tshs","2010","972731617"
"Mtwara","Revenue Collection (Tshs)","Tshs","2011","1253598238"
"Mtwara","Revenue Collection (Tshs)","Tshs","2012","1168445202"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","1996","16"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","1997","15"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","1998","16"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","1999","15"
"Mtwara","Quantity of Electricity Sold by Region (Gwh)","GWh","2001","1"
