id	synopsis	rating	genre	director	writer	theater_date	dvd_date	currency	box_office	runtime	studio
17											
18	"In 1979, Bill Viola and Frank Caliguri dreamed up a contest pitting barroom bigmouths against wrestlers, martial artists, boxers, bouncers and brawlers, billed as no-holds-barred new type of competitive fighting. When the fights succeeded beyond their wildest expectations, they were swept up in a chain of events that ended in the first mixed-martial arts ban in the nation. ""Tough Guys"" chronicles the inception of Caliguri and Viola's first bouts and the colorful, crazy cast of fighters who made them a hit as well as the politicians who brought it all crashing down. The film brings to life a moment when the national martial arts craze was building to a crescendo as the economies of Pennsylvania steel towns were plummeting to levels of unemployment never seen, breeding desperate men looking for a chance to prove their worth and make some money in the ring."	NR	Documentary		Robert Zullo						Showtime Documentary Films
19	"While Microsoft may be the biggest software company in the world, not every computer user is a fan of their products, or their way of doing business. While Microsoft's Windows became the most widely used operating system for personal computers in the world, many experts took issue with Microsoft's strict policies regarding licensing, ownership, distribution, and alteration of their software. The objections of many high-profile technology experts, most notably Richard Stallman, led to what has become known as ""the Open Source Movement,"" which is centered on the belief that computer software should be free both in the economic and intellectual senses of the word. Eventually, one of Stallman's admirers, Linus Torvalds, created a new operating system called Linux, a freely distributed software which many programmers consider to be markedly superior to Windows. Revolution OS is a documentary that examines the genesis of the Open Source Movement, and explores and explains the technical and intellectual issues involved in a manner understandable to computer aficionados and non-techheads alike."	NR	Documentary|Special Interest			Aug 23, 2002	Sep 30, 2003			90 minutes	Seventh Art Releasing
20	Rachel (Britt Ekland) is an Amish girl who rejects her religious upbringing and travels to the big city. She meets Raymond Paine (Jason Robards) and Billy Minsky (Elliot Gould) who put her on stage. A sensual striptease emerges from what was supposed to be a religious dance, eventually causing the cops to bust the place. Soon her father comes after his daughter who by now is coveted by gangsters. Forrest Tucker plays gangster Trim Houlihan, the quick-tempered Irishman. The film accurately reflects the mood of the burlesque halls which had died out by the time the feature was released. Veteran comic Burt Lahr, one of the last true burlesque and vaudeville performers, makes his last film appearance as Professor Spats. British comedian Norman Wisdom steals the show in his role as Chick Williams. Rudy Valee, the top crooning heartthrob of the 1920s, narrates and sings a few songs. The surviving Minsky brother Morton acted as technical advisor for this song and dance filled slice of Americana. Burlesque had all but died out by the time the film was release, and this feature accurately recalls the bygone era that started before talking pictures and even radio were mainstream items.	PG-13	Classics|Comedy|Drama	William Friedkin	Sidney Michaels|Arnold Schulman|Norman Lear	Dec 22, 1968	May 20, 2008			97 minutes	
21	"Old-school comic Rodney ""I get no respect"" Dangerfield headlines this broad-based comedy satire of trashy '90s-style television talk-shows. He plays the title host of an afternoon show that has become so sleazy that all but his most die-hard fans have stopped watching. Studio executive Lenny Spencer (Burt Reynolds) is so disgusted, that he gives Sparks one week to improve the ratings or else. To this end, Sparks attends a special reception hosted by his arch nemesis, ultra-conservative Governor Floyd Preston (David Ogden Stiers)."	R	Comedy	Peter Baldwin	Rodney Dangerfield|Harry Basil	Jan 31, 1997	Sep 20, 1999			106 minutes	
22	Two-time Academy Award Winner Kevin Spacey gives the performance of a lifetime in CASINO JACK, a riotous new film starring Spacey as a man hell bent on acquiring all that the good life has to offer. He plays in the same game as the highest of rollers and resorts to awe-inspiring levels of conning, scheming and fraudulent antics to get what he wants. Inspired by true events that are too over-the-top for even the wildest imaginations to conjure, CASINO JACK lays bare the wild excesses and escapades of Jack Abramoff. Aided by his business partner Michael Scanlon (Barry Pepper), Jack parlays his clout over some of the world's most powerful men with the goal of creating a personal empire of wealth and influence. When the two enlist a mob-connected buddy (Jon Lovitz) to help with one of their illegal schemes, they soon find themselves in over their heads, entrenched in a world of mafia assassins, murder and a scandal that spins so out of control that it makes worldwide headlines. Directed by George Hickenlooper (FACTORY GIRL, THE MAN FROM ELYSIAN FIELDS), CASINO JACK returns Spacey to the type of role that made him famous - a cool-headed, articulate snake charmer whose wild ambitions knows no limits or boundaries. The film also stars Kelly Preston and Rachelle Lefevre and is produced by Gary Howsam, Bill Marks and George Vitetzakis from an original screenplay by Norman Snider. Executive Producers are Richard Rionda Del Castro, Lewin Webb, Donald Zuckerman, Dana Brunetti, Patricia Eberle, Warren Nimchuk, Angelo Paletta and Domenic Serafino. The Associate Producer is Rick Chad. -- (C) Art Takes Over	R	Comedy|Drama|Mystery and Suspense	George Hickenlooper	Norman Snider	Dec 17, 2010	Apr 5, 2011	$	1,039,869	108 minutes	ATO Pictures
23	A fictional film set in the alluring world of one of the most stunning scandals to rock our nation, American Hustle tells the story of brilliant con man Irving Rosenfeld (Christian Bale), who along with his equally cunning and seductive British partner Sydney Prosser (Amy Adams) is forced to work for a wild FBI agent Richie DiMaso (Bradley Cooper). DiMaso pushes them into a world of Jersey powerbrokers and mafia that's as dangerous as it is enchanting. Jeremy Renner is Carmine Polito, the passionate, volatile, New Jersey political operator caught between the con-artists and Feds. Irving's unpredictable wife Rosalyn (Jennifer Lawrence) could be the one to pull the thread that brings the entire world crashing down. Like David O. Russell's previous films, American Hustle defies genre, hinging on raw emotion, and life and death stakes. (c) Sony	R	Drama			Dec 20, 2013	Mar 18, 2014	$	99,165,609	129 minutes	Sony Pictures
24	Three young boys discover a stranded Russian sailor on the shores of Key West in this well-meaning but unexciting drama. Initially viewing him as an enemy, the boys soon grow to like their new companion and agree to help him find a way back to his homeland.	PG	Action and Adventure|Comedy|Drama	Rick Rosenthal	Sheldon Lettich|Michael Nankin|Alan Jay Glueckman	Nov 6, 1987	Mar 8, 2005			98 minutes	
25	From ancient Japan's most enduring tale, the epic 3D fantasy-adventure 47 Ronin is born. Keanu Reeves leads the cast as Kai, an outcast who joins Oishi (Hiroyuki Sanada), the leader of 47 outcast samurai. Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind. To restore honor to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors. 47 Ronin is helmed by visionary director Carl Erik Rinsch (The Gift). Inspired by styles as diverse as Miyazaki and Hokusai, Rinsch will bring to life the stunning landscapes and enormous battles that will display the timeless Ronin story to global audiences in a way that's never been seen before. -- (C) Universal	PG-13	Action and Adventure|Drama|Science Fiction and Fantasy	Carl Erik Rinsch	Chris Morgan|Hossein Amini	Dec 25, 2013	Apr 1, 2014	$	20,518,224	127 minutes	Universal Pictures
26	A comic series of short vignettes build on one another to create a cumulative effect, as the characters discuss things as diverse as caffeine popsicles, Paris in the '20s, and the use of nicotine as an insecticide--all the while sitting around sipping coffee and smoking cigarettes. As director Jim Jarmusch delves into the normal pace of our world from an extraordinary angle, he shows just how absorbing the obsessions, joys and addictions of life can be, if truly observed.	R	Art House and International|Comedy|Drama|Musical and Performing Arts	Jim Jarmusch	Jim Jarmusch	May 14, 2004	Sep 21, 2004	$	1,971,135	96 minutes	MGM
27		NR	Musical and Performing Arts								
28	Elvis goes Hawaiian for the second time in this tuneful romantic adventure. He plays an irresponsible pilot who, with a partner, struggles to set up a charter helicopter business. When not toiling at that, the King is wooing island beauties and singing.	G	Classics|Comedy|Musical and Performing Arts|Romance		Allan Weiss|Anthony Lawrence	Jun 15, 1966	Jan 7, 2003			90 minutes	
29	This futuristic adventure stars Lee Majors as a former racing champ who reassembles his old Porsche and drives to California in a world where cars have been outlawed by the powers that be.	PG	Action and Adventure|Drama|Science Fiction and Fantasy	Martyn Burke		Apr 1, 1981	May 10, 2011			101 minutes	
33	"Howard W. Campbell Jr. (Nick Nolte) is an American playwright living in pre-World War II Berlin. He is happily married to his lovely wife Helga (Sheryl Lee), and is acclaimed for his work, which gains him entree into Berlin's highest political and social circles. Then one day he's approached by Frank Wirtenan (John Goodman), an American intelligence agent who offers Campbell the opportunity to spy for his country. Campbell refuses. He wonders why he was asked. ""You're obsessed with the notion of pure hearts and heroism. You love good and you hate evil ...and you'd sacrifice anything in the name of romance,"" Wirtenan tells him. So Campbell agrees. He seamlessly infiltrates the Nazis and gets a job spewing hateful Nazi propaganda on a weekly radio show beamed across Europe. He barely survives the war, his wife supposedly doesn't, and finds himself living in New York City, penniless and befriended by a next-door neighbor, a painter and fellow widower (Alan Arkin). He might have lived quietly beyond that, but gets found by a ragged group of American neo-Nazis -- and, incredibly, his wife. The neo-Nazis publicize his presence and he learns that his neighbor is actually a spy and that his wife is really her little sister. Guilt-stricken and alone, Campbell turns himself in to the Israelis, who charge him with being a war criminal. He's about to go on trial in Israel when he receives a letter from Wirteman promising to reveal his heroic spying and exonerate him, but Campbell hangs himself in his cell."	R	Action and Adventure|Drama|Mystery and Suspense	Keith Gordon		Nov 1, 1996	Aug 22, 2000			114 minutes	
34	Director John Woo brings Hong Kong-style martial arts action to this comic book-flavored sequel that eschews the complicated plot and political maneuverings of its predecessor in favor of pure, adrenaline-charged thrills. Tom Cruise returns as Ethan Hunt, an operative for the top-secret government agency IMF (Impossible Missions Force). Fellow agent Sean Ambrose (Dougray Scott) has gone rogue, stealing a sample of a deadly synthetic virus named Chimera that could rapidly wipe out the world's population. Ambrose's plan is to sell Chimera to the highest bidder in exchange for shares of stock in the winner's company. Summoned by the new IMF chief (Anthony Hopkins in an uncredited cameo role), Ethan is assigned to recruit the help of Ambrose's former lover Nyah Nordoff-Hall (Thandie Newton), a gorgeous woman who left Ambrose broken-hearted and who may be able to quickly regain his confidence. Once he meets and spends a night with Nyah, however, Ethan is smitten, and now must both capture Ambrose and keep Nyah alive as she infiltrates a nest of vipers. Sophisticated disguises, gun battles, and high-speed chases are the order of the day, very much in the James Bond mold. Mission: Impossible 2 is based on a story by Star Trek: The Next Generation writers Ronald D. Moore and Brannon Braga, with a script polish by Robert Towne.	PG-13	Action and Adventure|Mystery and Suspense	John Woo	William Goldman|John Logan|David Marconi|Michael Tolkin|Robert Towne|Rick Berman	Dec 31, 2000	Nov 7, 2000			123 minutes	Paramount Pictures
35	In this film, conjoined twins Blake and Francis Falls share many vital organs. They have come to the big city to find their long-lost mother and end their suffering. Befriending a prostitute, Blake reveals that Francis is dying. He must choose between dying with his brother or a risky operation.	R	Drama	Michael Polish	Michael Polish|Mark Polish	Jul 30, 1999	Jan 18, 2000			110 minutes	
38	You'd think they would know better from their first glance at the foreboding stone exterior of the blood-sucking Count's castle, but apparently they didn't, for this young couple, who are looking for the young man's missing brother, walks right into Dracula's lair. Christopher Lee plays Count Dracula in this gory and violent scare-maker.	R	Art House and International|Classics|Horror|Mystery and Suspense	Roy Ward Baker	Anthony Hinds|John Elder	Dec 23, 1970	Aug 7, 2001			96 minutes	
39	A group of stoners at a rock festival is stalked by a serial killer wearing a Ronald Reagan mask in the unrated version of this outrageous horror comedy featuring a cast that includes Courteney Cox and David Arquette, who also co-wrote and directed. Jaime King, Thomas Jane, Jason Mewes, Balthazar Getty.	R	Horror	David Arquette	David Arquette|Joe Harris	Apr 20, 2007	Oct 30, 2007			97 minutes	After Dark Films/Freestyle Releasing
40	John Sayles' Casa de los Babys tells the tale of a half-dozen American women who travel to Latin America in order to pick up their adopted children. They all stay at the same motel while they each wade through the bureaucracy. Sharing with each other their fears, hopes, dreams, and frustrations at the thoughts of becoming mothers comprises the majority of the drama in the film. The cast includes Maggie Gyllenhaal, Daryl Hannah, Marcia Gay Harden, Susan Lynch, Mary Steenburgen, Lili Taylor, and Rita Moreno.	R	Drama	John Sayles	John Sayles	Sep 19, 2003	Apr 13, 2004	$	312,136	95 minutes	
41	Ken Loach directs Sweet Sixteen, a gritty drama about a young man slowly succumbing to a life of crime. Liam (Martin Compson) hopes that his imprisoned mother (Michelle Coulter) will be free by his 16th birthday. Hoping to help his mother escape her abusive heroin-dealing boyfriend (Gary McCormack), Liam rats him out to the cops. Liam's sister, Chantelle (Annmarie Fulton), suggests that a new trailer park might be a better place for their mother to live. With the help of his best friend, Pinball (William Ruanne), Liam sells the boyfriend's supply in order to raise the money, but this gets him into trouble with gangsters whose turf he was selling in. Soon Liam is on the way up in the criminal world, but that success comes with a toll. The accents in this Scottish-set film are so thick that English subtitles are used throughout. Sweet Sixteen was screened in competition at the 2002 Cannes Film Festival.	R	Drama	Ken Loach	Paul Laverty	May 16, 2003	Oct 7, 2003	$	201,010	106 minutes	Lions Gate Films
42	"Warner Bros.' ""Perry Mason"" series quietly slipped from the ""A"" to the ""B"" category with this adaptation of Erle Stanley Gardner's The Case of the Caretaker's Cat. Ricardo Cortez and June Travis take over from Warren William and Claire Dodd as criminal attorney Perry Mason and his faithful secretary Della Street. Though the characters had been married in Case of the Velvet Claws, they're unattached again here, though Della is still hoping. This time there are three murders, all connected with a hectic treasure hunt and a screeching feline (grey, not black"	G	Action and Adventure|Classics|Drama|Mystery and Suspense		Frederick Hugh Herbert					65 minutes	
43	Based on the play	NR	Classics|Comedy|Musical and Performing Arts	William Wellman	Nunnally Johnson					75 minutes	
44	Can death be a good career move? The star of Bio-Dome, Jury Duty, and In the Army Now decides to find out in this satirical comedy. Pauly Shore (playing himself) takes a role on a new situation comedy series for FOX TV after a string of awful movies puts paid to his film career, but when the show is axed at the last moment, Shore finds himself flat broke and unable to find work in Hollywood. At the end of his rope, one night Shore is visited by the ghost of comic Sam Kinison, who suggests that killing himself might be the answer. Shore lacks the nerve to go quite that far, but he goes half-way by faking his own death and is amazed to discover an outpouring of post-mortem enthusiasm for him and his body of work, with the dead comic now praised as a genius; however, as Shore tries to figure out how to capitalize on this outpouring of acceptance, word begins to spread that the comic is actually alive and well, which only causes more problems for him. Produced under the title You'll Never Wiez In This Town Again, Pauly Shore Is Dead was written and directed by Shore himself and features an impressive list of celebrity cameos including Chris Rock, Sean Penn, Ellen DeGeneres, Britney Spears, Vince Vaughn, Andy Dick, Paris Hilton, and lots more.	R	Comedy	Pauly Shore	Pauly Shore|Kirk Fox	Mar 11, 2003	Jan 25, 2005			82 minutes	Regent Releasing
45	Hawaiian surfer dudes Stew (Steve Van Wormer) and Phil Deedle (Paul Walker), fraternal twins, are about to be expelled from school, so their wealthy and concerned father (Eric Braeden) offers summer camp in Wyoming as a solution. Arriving in Jackson Hole with their wet suits, the Deedle twins are like fish out of water, and a series of accidents put them in a hospital. Mistaken for new recruits by Yellowstone Park ranger Capt. Pine (Douglas Ashton), the duo go along with the error after meeting their training officer, the attractive Lt. Jesse Ryan (A.J. Langer), but they are unprepared to adapt to life in the wild, as they cope with mountainside rappelling, sleeping in tents, eating worms, and dealing with hordes of prairie dogs unleashed by ex-ranger Frank Slater (Dennis Hopper), who seeks vengeance for his past problems in the park. There are several pop-culture references, including a cameo by Bart the Bear (of The Edge).	PG	Comedy|Kids and Family	Steve Boyum	Jim Herzfeld|Dale Pollock					92 minutes	
46	"Six guys with nothing left to lose try losing their clothing for fun and profit in this international hit comedy. Gaz (Robert Carlyle) and Dave (Mark Addy) are two former steelworkers in the British industrial town of Sheffield who have been devastated by the economic downturn in their community. Gaz is threatened with losing visitation rights with his son if he can't pay his child support, while Dave feels emasculated by his inability to support his wife. One day, Gaz stops by a local pub for a drink and is told it's women only tonight -- the Chippendales male exotic dancing troupe is playing, and they are demanding a hefty cover charge. Gaz decides there's nothing a bunch of pantywaists from America can do that he and his pals can't do better, and decides to form his own crew of male strippers, called ""Hard Steel."" However, the local talent pool leaves a bit to be desired. Gaz isn't bad looking, but Dave is a bit heavy and very self conscious about it. Horse (Paul Barber) was probably hot stuff at Soul Night in the mid-70's, but his joints don't move like they used to. Guy (Hugo Speer) can't dance to save his life, but makes the troupe because ... well, let's say he and Dirk Diggler would have a lot to say to each other. Lomper (Steve Huison) is sometimes too busy attempting suicide to practice. And Gerald (Tom Wilkinson), their choreographer, isn't much on male exotic dancing -- ballroom dancing is more his speed. While ""Hard Steel""'s performances are more amusing then enticing, for the first time since they lost their jobs the men have a reason to get up in the morning; joining the group has given them a circle of friendship, and a renewed sense of purpose. Combining broad comedy with believable and well-drawn characters, The Full Monty was a major box-office hit both in England and the United States and was nominated for Academy Awards as Best Picture, Best Director, and Best Original Screenplay."	R	Comedy|Musical and Performing Arts	Peter Cattaneo	Simon Beaufoy|Simon Beaufor	Aug 13, 1997	Nov 2, 1999			91 minutes	
48	"To fully enjoy the rugged outdoors adventure The Mountain, one must accept the notion that 55-year-old Spencer Tracy and 25-year-old Robert Wagner are brothers. Tracy plays veteran mountain guide Zachary Wheeler, who is coaxed out of retirement when a passenger plane crashes on high mountain. He decides it isn't worth risking his life to recover the bodies of the passengers, but hot-headed younger brother Chris (Robert Wagner), hoping to claim the victims' valuables, talks Zachary into accompanying him to the mountaintop. After their treacherous upward journey, the brothers discover that one of the passengers, a Hindu girl (Anna Kashfi), is still alive. Zachary wants to bring her back to safety, but the greedy Chris would rather abandon her and make off with the valuables. It is, inevitable, then, that not everyone involved is going to get off the mountain alive. A worthwhile character study enhanced by superb location photography, The Mountain is compromised by its overreliance on phony-looking studio ""exteriors""."	NR	Action and Adventure|Drama|Western	Edward Dmytryk	Ranald MacDougall					73 minutes	
49	Two gorgeous women -- Donna (Dona Speir) and Taryn (Hope Marie Carlton) -- operate a airplane cargo delivery service in Hawaii. Their latest shipment includes a very large, very nasty snake destined for the local zoo. But the delivery is interrupted when they stumble on a cache of diamonds that were to go to a ruthless drug dealer, Seth (Rodrigo Obregon). Seth sends a transvestite to kidnap the owner of a restaurant, Edy (Cynthia Brimhall), so his men can torture her with a female bodybuilder into revealing where Donna and Taryn are. Luckily for all the good guys, Special Agent Rowdy Abilene (Ronn Moss) has a bazooka, and he knows how to use it. And unluckily for Seth, that nasty snake has broken out of its box.	R	Action and Adventure|Comedy|Mystery and Suspense	Andy Sidaris	Andy Sidaris					100 minutes	
50	A New York City police officer (Don Murray) uses brutal methods to dispose of a would-be mugger (James Earl Jones) and then entreats the mugger's victim (Diahn Williams) to keep the affair a secret. While initially agreeing, she begins to suspect that he's holding something back.	R	Action and Adventure|Drama	Ivan Nagy	Don Petersen|George Wislocki					99 minutes	
51	Wait Until Dark is an innovative, highly entertaining and suspenseful thriller about a blind housewife, Susy Hendrix (Audrey Hepburn). Independent and resourceful, Susy is learning to cope with her blindness, which resulted from a recent accident. She is aided by her difficult, slightly unreliable young neighbor Gloria (Julie Herrod) with whom she has an exasperated but lovingly maternal relationship. Susy's life is changed as she is terrorized by a group of criminals who believe she has hidden a baby doll used by them to smuggle heroin into the country. Unknown to Susy, her photographer husband Sam (Efrem Zimbalist Jr.) took the doll as a favor for a woman he met on an international plane flight and unwittingly brought the doll to the couple's New York apartment when the woman became afraid of the customs officials. Alone in her apartment and cut-off from the outside world, Susy must fight for her life against a gang of ruthless criminals, led by the violent, psychotic Roat (Alan Arkin). The tension builds as Roat, aided by his gang, impersonates police officers and friends of her husband in order to win Susy's confidence, gaining access to her apartment to look for the doll. The climax of the film, a violent physical confrontation between Susie and Roat in her dark kitchen, is one of the most memorable and frightening scenes in screen history. All performances are outstanding, particularly those of Audrey Hepburn who plays a vulnerable, but self-reliant woman, and Alan Arkin, in perhaps his best role, as the ruthless, manipulative Roat.	NR	Mystery and Suspense	Terence Young	Jane-Howard Carrington|Robert Carrington	Oct 26, 1967	Aug 5, 2003			108 minutes	
