"location","variable","Unit","Date","Value"
"Dodoma","Climatic Condition","mm","2010M10","0"
"Dodoma","Climatic Condition","mm","2010M11","6.2"
"Dodoma","Climatic Condition","mm","2010M12","117.4"
"Dodoma","Climatic Condition","mm","2012M1","124"
"Dodoma","Climatic Condition","mm","2012M2","103.4"
"Dodoma","Climatic Condition","mm","2012M3","124.4"
"Dodoma","Climatic Condition","mm","2012M4","81.9"
"Dodoma","Climatic Condition","mm","2012M5","1.2"
"Dodoma","Climatic Condition","mm","2012M6","0"
"Dodoma","Climatic Condition","mm","2012M7","0"
"Dodoma","Climatic Condition","mm","2012M8","0"
"Dodoma","Climatic Condition","mm","2012M9","0"
"Dodoma","Climatic Condition","mm","2012M10","0"
"Dodoma","Climatic Condition","mm","2012M11","15.8"
"Dodoma","Climatic Condition","mm","2012M12","154.4"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M1","29.2"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M2","29.8"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M3","30.6"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M4","30.2"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M5","29.4"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M6","28"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M7","26.9"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M8","27.7"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M9","29.1"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M11","32"
"Dodoma","Mean Maximum Temperature (°C)","°C","2010M12","30.4"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M1","29.2"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M2","30.6"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M3","29"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M4","28.4"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M5","27.5"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M6","27.2"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M7","27"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M8","28.1"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M9","29.8"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M10","31.4"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M11","31.3"
"Dodoma","Mean Maximum Temperature (°C)","°C","2012M12","30.6"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M1","19.2"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M2","19.3"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M3","19.4"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M4","18.8"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M5","17.7"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M6","15.5"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M7","14.4"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M8","14.6"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M9","15.4"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M11","18.7"
"Dodoma","Mean Minimum Temperature (°C )","°C","2010M12","18.8"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M1","19.2"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M2","19.3"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M3","18.8"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M4","18.2"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M5","16.5"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M6","14.1"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M7","14.5"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M8","15.6"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M9","16.3"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M10","17.9"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M11","19.7"
"Dodoma","Mean Minimum Temperature (°C )","°C","2012M12","19.7"
"Dodoma","Population in ""000""","thousands","2002","1692"
"Dodoma","Population in ""000""","thousands","2010","2112"
"Dodoma","Population in ""000""","thousands","2012","2083.588"
"Dodoma","Density/km2","persons per sq. km","2010","52"
"Dodoma","Density/km2","persons per sq. km","2012","50"
"Dodoma","Total, % HIV Positive","%","2008","3.3"
"Dodoma","Total, % HIV Positive","%","2012","2.9"
"Dodoma","Number of Household, Short Rainy Season","","2008","364"
"Dodoma","Planted Area (ha), Short Rainy Season","Hectares","2008","814"
"Dodoma","Number of Household, Long Rainy Season","","2008","357968"
"Dodoma","Planted Area (ha), Long Rainy Season","Hectares","2008","747096"
"Dodoma","Total area Planted (ha)","Hectares","2008","747910"
"Dodoma","% Area Planted in Short Rainy Season","%","2008","0.1"
"Dodoma","Maize, Quantity Harvested (tons/ha)","","2003","149492"
"Dodoma","Maize, Quantity Harvested (tons/ha)","","2008","350979"
"Dodoma","Paddy, Quantity Harvested (tons/ha)","","2003","2587"
"Dodoma","Paddy, Quantity Harvested (tons/ha)","","2008","1983"
"Arusha","Climatic Condition","mm","2010M1","86.1"
"Arusha","Climatic Condition","mm","2010M2","106.7"
"Arusha","Climatic Condition","mm","2010M3","95.9"
"Arusha","Climatic Condition","mm","2010M4","322.4"
"Arusha","Climatic Condition","mm","2010M5","49.7"
"Arusha","Climatic Condition","mm","2010M6","1.3"
"Arusha","Climatic Condition","mm","2010M7","0"
"Arusha","Climatic Condition","mm","2010M8","0.8"
"Arusha","Climatic Condition","mm","2010M9","1.3"
"Arusha","Climatic Condition","mm","2010M10","1.2"
"Arusha","Climatic Condition","mm","2010M11","98.9"
"Arusha","Climatic Condition","mm","2010M12","29.1"
"Arusha","Climatic Condition","mm","2012M1","23.1"
"Arusha","Climatic Condition","mm","2012M2","59.9"
"Arusha","Climatic Condition","mm","2012M3","18.6"
"Arusha","Climatic Condition","mm","2012M4","233"
"Arusha","Climatic Condition","mm","2012M5","47.9"
"Arusha","Climatic Condition","mm","2012M6","1.8"
"Arusha","Climatic Condition","mm","2012M7","0.6"
"Arusha","Climatic Condition","mm","2012M8","18.3"
"Arusha","Climatic Condition","mm","2012M9","0.5"
"Arusha","Climatic Condition","mm","2012M10","7.8"
"Arusha","Climatic Condition","mm","2012M11","211.2"
"Arusha","Climatic Condition","mm","2012M12","165.1"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M1","27.6"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M2","27.9"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M3","28.2"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M4","25.3"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M5","23.9"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M6","22.6"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M7","22.4"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M8","23.5"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M9","25"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M10","28.7"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M11","28.2"
"Arusha","Mean Maximum Temperature (°C)","°C","2010M12","27.6"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M1","30.9"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M2","28.9"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M3","29.6"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M4","25.5"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M5","23.2"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M6","23"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M7","23.1"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M8","24.6"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M9","26.5"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M10","28.7"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M11","26.8"
"Arusha","Mean Maximum Temperature (°C)","°C","2012M12","26.8"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M1","14.6"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M2","16.1"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M3","16.2"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M4","17.4"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M5","16.4"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M6","15"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M7","13.2"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M8","13.6"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M9","13.7"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M10","14.6"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M11","15.7"
"Arusha","Mean Minimum Temperature (°C )","°C","2010M12","14.2"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M1","14.4"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M2","14"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M3","16.1"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M4","17"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M5","16"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M6","14.9"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M7","13.4"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M8","13"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M9","13.7"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M10","15.4"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M11","15.5"
"Arusha","Mean Minimum Temperature (°C )","°C","2012M12","16.3"
"Arusha","Population in ""000""","thousands","2002","1288"
"Arusha","Population in ""000""","thousands","2010","1665"
"Arusha","Population in ""000""","thousands","2012","1694.31"
"Arusha","Density/km2","persons per sq. km","2010","46"
"Arusha","Density/km2","persons per sq. km","2012","45"
"Arusha","Total, % HIV Positive","%","2008","1.4"
"Arusha","Total, % HIV Positive","%","2012","3.2"
"Arusha","Number of Household, Short Rainy Season","","2008","44381"
"Arusha","Planted Area (ha), Short Rainy Season","Hectares","2008","33997"
"Arusha","Number of Household, Long Rainy Season","","2008","150275"
"Arusha","Planted Area (ha), Long Rainy Season","Hectares","2008","166983"
"Arusha","Total area Planted (ha)","Hectares","2008","200979"
"Arusha","% Area Planted in Short Rainy Season","%","2008","16.9"
"Arusha","Maize, Quantity Harvested (tons/ha)","","2003","92118"
"Arusha","Maize, Quantity Harvested (tons/ha)","","2008","209678"
"Arusha","Paddy, Quantity Harvested (tons/ha)","","2003","3809"
"Arusha","Paddy, Quantity Harvested (tons/ha)","","2008","2271"
"Kilimanjaro","Climatic Condition","mm","2010M1","90.7"
"Kilimanjaro","Climatic Condition","mm","2010M2","10.3"
"Kilimanjaro","Climatic Condition","mm","2010M3","169"
"Kilimanjaro","Climatic Condition","mm","2010M4","106.9"
"Kilimanjaro","Climatic Condition","mm","2010M5","64.9"
"Kilimanjaro","Climatic Condition","mm","2010M6","2.2"
"Kilimanjaro","Climatic Condition","mm","2010M7","0"
"Kilimanjaro","Climatic Condition","mm","2010M8","0.1"
"Kilimanjaro","Climatic Condition","mm","2010M9","1.7"
"Kilimanjaro","Climatic Condition","mm","2010M10","0"
"Kilimanjaro","Climatic Condition","mm","2010M11","12.5"
"Kilimanjaro","Climatic Condition","mm","2010M12","54.3"
"Kilimanjaro","Climatic Condition","mm","2012M1","1.5"
"Kilimanjaro","Climatic Condition","mm","2012M2","22.6"
"Kilimanjaro","Climatic Condition","mm","2012M3","33.4"
"Kilimanjaro","Climatic Condition","mm","2012M4","46.5"
"Kilimanjaro","Climatic Condition","mm","2012M5","0.7"
"Kilimanjaro","Climatic Condition","mm","2012M6","0"
"Kilimanjaro","Climatic Condition","mm","2012M7","24.1"
"Kilimanjaro","Climatic Condition","mm","2012M8","24.1"
"Kilimanjaro","Climatic Condition","mm","2012M9","0"
"Kilimanjaro","Climatic Condition","mm","2012M10","0"
"Kilimanjaro","Climatic Condition","mm","2012M11","112"
"Kilimanjaro","Climatic Condition","mm","2012M12","31.3"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M1","32"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M2","33.7"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M3","33.1"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M4","29.2"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M5","27.6"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M6","26.7"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M7","26.6"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M8","27.6"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M9","29.3"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M10","32.4"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M11","33"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2010M12","32.6"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M1","35.1"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M2","34.9"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M3","33.8"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M4","29.9"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M5","27.6"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M6","27.2"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M7","25.7"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M8","28.2"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M9","30.3"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M10","31"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M11","31.4"
"Kilimanjaro","Mean Maximum Temperature (°C)","°C","2012M12","32"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M1","19.1"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M2","20.1"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M3","20.2"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M4","20.6"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M5","18.7"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M6","17.2"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M7","15.3"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M8","15"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M9","15.7"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M10","17.5"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M11","19.4"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2010M12","18.9"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M1","18.4"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M2","19.1"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M3","19.9"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M4","20"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M5","18.3"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M6","17.5"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M7","14.4"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M8","15.5"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M9","15.9"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M10","16.9"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M11","19.3"
"Kilimanjaro","Mean Minimum Temperature (°C )","°C","2012M12","19.5"
"Kilimanjaro","Population in ""000""","thousands","2002","1377"
"Kilimanjaro","Population in ""000""","thousands","2010","1636"
"Kilimanjaro","Population in ""000""","thousands","2012","1640.087"
"Kilimanjaro","Density/km2","persons per sq. km","2010","126"
"Kilimanjaro","Density/km2","persons per sq. km","2012","124"
"Kilimanjaro","Total, % HIV Positive","%","2008","1.9"
"Kilimanjaro","Total, % HIV Positive","%","2012","3.8"
"Kilimanjaro","Number of Household, Short Rainy Season","","2008","139948"
"Kilimanjaro","Planted Area (ha), Short Rainy Season","Hectares","2008","78839"
"Kilimanjaro","Number of Household, Long Rainy Season","","2008","152220"
"Kilimanjaro","Planted Area (ha), Long Rainy Season","Hectares","2008","101347"
"Kilimanjaro","Total area Planted (ha)","Hectares","2008","180186"
"Kilimanjaro","% Area Planted in Short Rainy Season","%","2008","43.8"
"Kilimanjaro","Maize, Quantity Harvested (tons/ha)","","2003","105222"
"Kilimanjaro","Maize, Quantity Harvested (tons/ha)","","2008","150138"
"Kilimanjaro","Paddy, Quantity Harvested (tons/ha)","","2003","10724"
"Kilimanjaro","Paddy, Quantity Harvested (tons/ha)","","2008","8831"
"Tanga","Climatic Condition","mm","2010M1","126.6"
"Tanga","Climatic Condition","mm","2010M2","40.6"
"Tanga","Climatic Condition","mm","2010M3","105.5"
"Tanga","Climatic Condition","mm","2010M4","321.7"
"Tanga","Climatic Condition","mm","2010M5","200.9"
"Tanga","Climatic Condition","mm","2010M6","62.2"
"Tanga","Climatic Condition","mm","2010M7","3.1"
"Tanga","Climatic Condition","mm","2010M8","84.6"
"Tanga","Climatic Condition","mm","2010M9","82"
"Tanga","Climatic Condition","mm","2010M10","46.7"
"Tanga","Climatic Condition","mm","2010M11","79.4"
"Tanga","Climatic Condition","mm","2010M12","2.6"
"Tanga","Climatic Condition","mm","2012M1","0"
"Tanga","Climatic Condition","mm","2012M2","1.9"
"Tanga","Climatic Condition","mm","2012M3","28.2"
"Tanga","Climatic Condition","mm","2012M4","116.7"
"Tanga","Climatic Condition","mm","2012M5","92.4"
"Tanga","Climatic Condition","mm","2012M6","53.3"
"Tanga","Climatic Condition","mm","2012M7","17.8"
"Tanga","Climatic Condition","mm","2012M8","79.3"
"Tanga","Climatic Condition","mm","2012M9","70.2"
"Tanga","Climatic Condition","mm","2012M10","43.9"
"Tanga","Climatic Condition","mm","2012M11","101.5"
"Tanga","Climatic Condition","mm","2012M12","38.7"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M1","31.5"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M2","33"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M3","33.4"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M4","31.8"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M5","30.7"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M6","30.1"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M7","30"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M8","29.4"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M9","29.5"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M10","31.7"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M11","32.4"
"Tanga","Mean Maximum Temperature (°C)","°C","2010M12","33.5"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M1","31.7"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M2","32.5"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M3","33.2"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M4","31.9"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M5","30.5"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M6","30.1"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M7","28.8"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M8","29.3"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M9","29.2"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M10","30.9"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M11","31.8"
"Tanga","Mean Maximum Temperature (°C)","°C","2012M12","33"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M1","24.5"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M2","25"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M3","25.5"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M4","24.6"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M5","23.7"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M6","22.6"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M7","21.3"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M8","21.2"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M9","21.5"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M10","22.4"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M11","24"
"Tanga","Mean Minimum Temperature (°C )","°C","2010M12","24.5"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M1","24.2"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M2","24.3"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M3","24.4"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M4","23.8"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M5","23.2"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M6","22"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M7","20.1"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M8","21.3"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M9","21.7"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M10","22.7"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M11","23.9"
"Tanga","Mean Minimum Temperature (°C )","°C","2012M12","24.6"
"Tanga","Population in ""000""","thousands","2002","1636"
"Tanga","Population in ""000""","thousands","2010","1967"
"Tanga","Population in ""000""","thousands","2012","2045.205"
"Tanga","Density/km2","persons per sq. km","2010","73"
"Tanga","Density/km2","persons per sq. km","2012","77"
"Tanga","Total, % HIV Positive","%","2008","3.8"
"Tanga","Total, % HIV Positive","%","2012","2.4"
"Tanga","Number of Household, Short Rainy Season","","2008","207455"
"Tanga","Planted Area (ha), Short Rainy Season","Hectares","2008","178554"
"Tanga","Number of Household, Long Rainy Season","","2008","238161"
"Tanga","Planted Area (ha), Long Rainy Season","Hectares","2008","258205"
"Tanga","Total area Planted (ha)","Hectares","2008","436760"
"Tanga","% Area Planted in Short Rainy Season","%","2008","40.9"
"Tanga","Maize, Quantity Harvested (tons/ha)","","2003","173602"
"Tanga","Maize, Quantity Harvested (tons/ha)","","2008","434747"
"Tanga","Paddy, Quantity Harvested (tons/ha)","","2003","6960"
"Tanga","Paddy, Quantity Harvested (tons/ha)","","2008","13322"
"Morogoro","Climatic Condition","mm","2010M1","87.3"
"Morogoro","Climatic Condition","mm","2010M2","80.6"
"Morogoro","Climatic Condition","mm","2010M3","87.3"
"Morogoro","Climatic Condition","mm","2010M4","207.1"
"Morogoro","Climatic Condition","mm","2010M5","79.7"
"Morogoro","Climatic Condition","mm","2010M7","0"
"Morogoro","Climatic Condition","mm","2010M8","1"
"Morogoro","Climatic Condition","mm","2010M9","0"
"Morogoro","Climatic Condition","mm","2010M10","4.2"
"Morogoro","Climatic Condition","mm","2010M11","22.2"
"Morogoro","Climatic Condition","mm","2010M12","181.6"
"Morogoro","Climatic Condition","mm","2012M1","70.3"
"Morogoro","Climatic Condition","mm","2012M2","71.7"
"Morogoro","Climatic Condition","mm","2012M3","59.9"
"Morogoro","Climatic Condition","mm","2012M4","124.9"
"Morogoro","Climatic Condition","mm","2012M5","134.6"
"Morogoro","Climatic Condition","mm","2012M6","23.1"
"Morogoro","Climatic Condition","mm","2012M7","0"
"Morogoro","Climatic Condition","mm","2012M8","9.7"
"Morogoro","Climatic Condition","mm","2012M9","0"
"Morogoro","Climatic Condition","mm","2012M10","0"
"Morogoro","Climatic Condition","mm","2012M11","76.5"
"Morogoro","Climatic Condition","mm","2012M12","76"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M1","31.4"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M2","32.5"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M3","32.7"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M4","30.5"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M5","29.6"
"Morogoro","Mean Maximum Temperature (°C)","°C","2010M6","29"
