field_1,latitude,longitude,adm1
"42",-9.0325029100,34.8145736400,Tabora
"43",-4.6289205300,34.9677886300,Kilimanjaro
"44",-3.4785593400,36.8060785700,Lindi
"45",-3.8389975300,33.3452603300,Kagera
"46",-11.0006037300,39.0874151400,Tanga
"47",-9.1729046800,33.5406067000,Singida
"48",-8.2275630300,35.8714132500,Kaskazini-Unguja
"49",-9.1898776600,34.4412834900,Tabora
"50",-3.3492923800,37.3728582900,Manyara
"51",-8.5716611400,32.0468348600,Kaskazini-Pemba
"52",-9.4481223800,33.9581632200,Tabora
"53",-0.0000000200,0.0000000000,
"54",-1.6806540400,30.9830225800,Ruvuma
"55",-3.3565376300,37.3481688100,Lindi
"56",-3.3681976100,37.4794359200,Manyara
"57",-3.3398116300,36.7211273400,Lindi
"58",-3.8068785800,35.5613460700,Kusini Unguja
"59",-1.5638860900,31.4542816800,Dodoma
"60",-5.1132496300,38.7894365500,Arusha
"61",-4.6472895000,38.3766712700,Lindi
"62",-4.7797583700,29.6697202900,Tabora
"63",-3.3500258700,36.9474507900,Lindi
"64",-4.3077610600,34.7627263400,Kilimanjaro
"65",-5.1731361800,34.6215980100,Kilimanjaro
"66",-9.2035221000,34.8972573500,Tabora
"67",-1.2857798000,30.7160902800,Ruvuma
"68",-8.8895940600,34.5578931100,Tabora
"69",-4.4718094700,29.7680086200,Arusha
"70",-8.9349501800,35.8189814700,Kigoma
"71",-8.5757803700,34.4622276900,Shinyanga
"72",-8.6075126300,34.2471800000,Shinyanga
"73",-1.8880197400,34.6570345000,Kaskazini-Pemba
"74",-4.2799679400,30.4199583900,Arusha
"75",-1.3514862700,31.7968728500,Dodoma
"76",-9.3264772000,34.6804714400,Tabora
"77",-3.5570341300,36.9316594100,Lindi
"78",-4.8348356000,38.5808236700,Lindi
"79",-3.3619007700,32.2550049400,Kaskazini-Pemba
"80",-9.2715654800,34.2844760400,Kaskazini-Unguja
"81",-7.0242627300,37.7229531000,Kusini Unguja
"82",-3.3747906000,36.7579322400,Lindi
"83",-3.3616116700,33.5389086900,Mbeya
"84",-1.6096905800,34.1905751200,Dodoma
"85",-2.3787718700,32.1855170100,Dar-Es-Salaam
"86",-7.9123165700,35.7344743300,Kaskazini-Unguja
"87",-2.0264685100,31.5589030400,Kaskazini-Pemba
"88",-6.6386956200,38.3535666800,Kusini-Pemba
"89",-5.8918683700,35.8781721100,Kigoma
"90",-4.7268496000,29.6709886900,Tabora
"91",-10.4765661900,38.9629451300,Tanga
"92",-6.5579032700,38.8904016700,Kusini-Pemba
"93",-4.4480398700,35.5121740400,Kusini Unguja
"94",-1.1943896300,31.4531110300,Dodoma
"95",-4.3410620600,30.2167304600,Arusha
"96",-4.2363780800,30.1266810900,Arusha
"97",-3.0096592300,33.0795039000,Iringa
"98",-10.8088530500,35.5421727700,Tanga
"99",-3.5660195300,33.2358384200,Mbeya
"100",-4.9942373700,39.0429832600,Arusha
"101",-4.0937498500,34.5634379500,Kilimanjaro
"102",-3.5548625800,30.6502674100,Shinyanga
"103",-11.3132431600,36.9507593600,Tanga
"104",-3.2164639400,37.1748904100,Lindi
"105",-3.5699690700,37.6164065800,Lindi
"106",-3.2694969100,33.6979001400,Manyara
"107",-3.0251057000,31.7673009000,Shinyanga
"108",-7.7105485800,35.6304814400,Kaskazini-Unguja
"109",-9.1306743000,33.8050808500,Singida
"110",-3.3307430900,36.9083288700,Lindi
"111",-3.3445666000,36.8755354700,Lindi
"112",-3.2679043500,31.4890473800,Kaskazini-Pemba
"113",-9.2664853300,33.2326701400,Tabora
"114",-6.3727974400,36.5570285700,Kigoma
"115",-1.0804854800,31.6632725600,Dodoma
"116",-6.8295007200,37.4874740200,Kusini Unguja
"117",-2.0634936900,33.3564713100,Kaskazini-Pemba
"118",-2.0226625700,34.4486452700,Kaskazini-Pemba
"119",-5.5923447000,37.0238101300,Kilimanjaro
"120",-9.3449213000,34.2230393300,Kaskazini-Unguja
"121",-1.4292660900,31.5723975500,Dodoma
"122",-2.7701689400,31.4647567000,Shinyanga
"123",-2.5561803300,36.7786213800,Lindi
"124",-9.2906156900,33.8731038800,Singida
"125",-5.0672688500,32.0710810000,Shinyanga
"126",-5.1867661600,34.7106434500,Kilimanjaro
"127",-9.3173115200,34.6483570900,Tabora
"128",-3.7793928200,32.9515594600,Kagera
"129",-2.6904420300,32.9937008800,Iringa
"130",-2.9301224200,31.6012707000,Shinyanga
"131",-3.4936676600,36.8415065800,Lindi
"132",-8.6848100600,33.8612658500,Shinyanga
"133",-4.0766052200,32.5443212500,Kagera
"134",-4.4646702000,38.3272623500,Lindi
"135",-9.6962259800,34.6885970500,Iringa
"136",-9.0950429200,32.4135224900,Kaskazini-Pemba
"137",-10.1336315600,39.8889811500,Tanga
"138",-3.0613674400,31.1941161300,Shinyanga
"139",-2.7845082300,31.6473221400,Shinyanga
"140",-9.5960838300,33.8608449100,Tabora
"141",-6.7716987000,37.8234618500,Kusini Unguja
"142",-5.4180309400,32.7850252200,Kaskazini-Pemba
"143",-6.2997666700,37.4431099100,Kusini Unguja
"144",-6.8619999900,37.8868783900,Kusini Unguja
"145",-6.8925932600,39.1857105000,Kusini-Pemba
"146",-1.5985790300,31.6532679900,Kaskazini-Pemba
"147",-8.9113249700,34.9888713100,Tabora
"148",-10.0277213200,39.6002343000,Tanga
"149",-8.6942470500,34.3583995800,Shinyanga
"150",-1.2464469400,34.4554782100,Ruvuma
"151",-8.7799455700,33.7842192500,Shinyanga
"152",-6.9887475800,39.5271143300,Kusini-Pemba
"153",-1.7206849300,34.5638774900,Kaskazini-Pemba
"154",-4.4605200100,29.8085782900,Arusha
"155",-10.9155763800,37.4187734200,Tanga
"156",-8.9288387000,33.5448054400,Shinyanga
"157",-3.6433097200,32.1724428500,Kagera
"158",-3.1221400700,34.0891537500,Manyara
"159",-9.7015973400,39.5593832100,Tanga
"160",-8.8686601100,34.9454653100,Tabora
"161",-8.6887507200,32.0659136500,Kaskazini-Pemba
"162",-8.8413692600,34.6805020900,Tabora
"163",-4.5256475300,30.2641338800,Arusha
"164",-2.5464592100,33.1635814800,Dodoma
"165",-5.3221205600,35.0800974000,Kilimanjaro
"166",-4.4247605700,33.4378989300,Kilimanjaro
"167",-5.1007011300,30.9047514900,Tabora
"168",-0.0000000200,0.0000000000,
"169",-10.9753631000,39.0822975800,Tanga
"170",-10.7305508900,35.9864247700,Tanga
"171",-7.8063760600,31.7799078000,Kaskazini-Pemba
"172",-6.4544688800,38.3349326500,Kusini-Pemba
"173",-8.1200635800,36.7039757500,Kigoma
"174",-6.6426089200,36.7099144500,Kigoma
"175",-8.1786438800,31.5236576200,Kaskazini-Pemba
"176",-3.8194570300,35.7005422000,Kusini Unguja
"177",-0.0000000200,0.0000000000,
"178",-9.0744077800,33.2034417500,Kaskazini-Pemba
"179",-5.1722768200,38.7674355900,Arusha
"180",-7.8501445100,35.6341952500,Kaskazini-Unguja
"181",-7.9066063600,39.6709434600,Pwani
"182",-3.1846958500,36.8272342000,Lindi
"183",-8.6893870600,32.0680244800,Kaskazini-Pemba
"184",-7.7830632700,39.8543204000,Pwani
"185",-8.0891866300,35.7639189400,Kaskazini-Unguja
"186",-8.4363975400,33.0147621900,Kaskazini-Pemba
"187",-1.1395912300,31.5122521900,Dodoma
"188",-8.9321147700,33.7240291800,Shinyanga
"189",-8.8299351700,33.8516198700,Shinyanga
"190",-4.8975160500,34.8847503100,Kilimanjaro
"191",-8.5107816900,34.9584092200,Kaskazini-Unguja
"192",-8.1955019200,35.2725042000,Kaskazini-Unguja
"193",-6.6087308800,38.3427679600,Kusini-Pemba
"194",-9.1297395900,34.7160098700,Tabora
"195",-10.6067171300,39.7788321900,Tanga
"196",-4.3669929700,37.8923345900,Lindi
"197",-3.0846553400,37.5971897800,Lindi
"198",-2.1523531900,33.5099886100,Kaskazini-Pemba
"199",-3.7262469200,33.7846671100,Mbeya
"200",-2.5492289100,30.7517688900,Shinyanga
"201",-4.4940778100,34.8945836200,Kilimanjaro
"202",-9.2045110400,34.8993082900,Tabora
"203",-8.8370769300,34.9203231000,Tabora
"204",-2.5554993000,30.4998522100,Shinyanga
"205",-1.3316274300,31.7758232800,Dodoma
"206",-9.0150963600,32.8502514600,Kaskazini-Pemba
"207",-3.3693700900,36.7823190700,Lindi
"208",-6.6364119200,38.2354442200,Kusini-Pemba
"209",-3.2508305900,35.8801561100,Kusini Unguja
"210",-8.9171650800,34.5688417000,Tabora
"211",-9.5274795900,33.8264386500,Tabora
"212",-5.5694880500,30.3582368700,Shinyanga
"213",-9.3191417200,33.2424411400,Tabora
"214",-4.1488847300,37.8228790500,Lindi
"215",-9.6116541700,33.9386891500,Tabora
"216",-3.4015409200,37.3550961200,Manyara
"217",-3.8125503200,33.1001618700,Kagera
"218",-3.2526794000,36.6505743300,Lindi
"219",-9.0321657400,33.1062308200,Kaskazini-Pemba
"220",-4.6780225100,34.9635366600,Kilimanjaro
"221",-4.4349540400,37.9587813800,Lindi
"222",-3.3498539300,36.9704448700,Lindi
"223",-4.5997057800,29.8835615800,Arusha
"224",-6.7049754700,38.9373531300,Kusini-Pemba
"225",-2.0726991500,33.3580578200,Kaskazini-Pemba
"226",-6.0108103500,37.0887917500,Kigoma
"227",-4.7421240400,34.6449886900,Kilimanjaro
"228",-3.6479466600,32.1661479800,Kagera
"229",-2.8492248800,32.9168459100,Iringa
"230",-5.1324617500,38.4687019000,Arusha
"231",-2.0736379600,33.0002391100,Kagera
"232",-4.6432146300,34.9877843700,Kilimanjaro
"233",-10.9928037800,39.3306325800,Tanga
"234",-4.5026844600,35.5308194600,Kusini Unguja
"235",-8.9592075400,33.3337890000,Shinyanga
"236",-4.2013656600,33.2773436000,Kilimanjaro
"237",-6.2663519400,37.5078905900,Kusini Unguja
"238",-8.5683947000,33.0591187000,Kaskazini-Pemba
"239",-5.1255186400,38.9738897000,Arusha
"240",-6.0953877600,36.8328306800,Kigoma
"241",-2.4763696700,31.7331137100,Shinyanga
"242",-6.0311372200,35.6275908300,Kigoma
"243",-4.9549518000,39.0912605900,Arusha
"244",-7.9150767700,35.0615307900,Kaskazini-Unguja
"245",-1.3149013800,31.8008342800,Dodoma
"246",-7.4219704200,35.8776166700,Kaskazini-Unguja
"247",-5.1361748900,38.7015260400,Arusha
"248",-3.3199362700,37.4396411800,Manyara
"249",-7.3682928400,39.2441782100,Kusini-Pemba
"250",-8.7203163200,34.6322553500,Tabora
"251",-10.5723923400,38.7947082400,Tanga
"252",-3.2649629000,37.5816604000,Manyara
"253",-0.0000000200,0.0000000000,
"254",-9.5043126000,34.3039125000,Kaskazini-Unguja
"255",-3.9116550700,32.5051503100,Kagera
"256",-0.0000000200,0.0000000000,
"257",-10.3724379800,39.7679083900,Tanga
"258",-7.8600198200,35.6242294700,Kaskazini-Unguja
"259",-7.5092178100,31.0444702700,Kaskazini-Pemba
"260",-1.2952398200,31.4522335400,Dodoma
"261",-5.8553045400,35.0663088600,Kaskazini-Unguja
"262",-6.3211800000,35.6376871600,Kigoma
"263",-3.7513907300,33.0849318000,Kagera
"264",-5.7936255900,35.9119676900,Kigoma
"265",-3.3928575100,36.7660460500,Lindi
"266",-4.4368180900,30.1265807600,Arusha
"267",-4.1824756700,37.5645107100,Lindi
"268",-8.9595821800,33.3038117700,Shinyanga
"269",-10.5647917200,38.8066060100,Tanga
"270",-9.4500550700,33.6912171100,Singida
"271",-5.6306330000,32.7475056200,Kaskazini-Pemba
"272",-8.8102654800,32.7112057700,Kaskazini-Pemba
"273",-3.8340832400,33.0603726300,Kagera
"274",-3.7913487200,30.5365143000,Shinyanga
"275",-11.1667615700,34.7357984600,Tanga
"276",-8.7790549900,36.3655294100,Tanga
"277",-4.7546110900,39.1101368700,Arusha
"278",-3.6987918600,37.6781621600,Lindi
"279",-7.6870958300,31.3528752400,Kaskazini-Pemba
"280",-4.3325827800,30.0170981800,Arusha
"281",-3.5910844400,30.7084557300,Shinyanga
"282",-3.7640839900,33.8349579900,Mbeya
"283",-3.3307891000,36.6586431800,Lindi
"284",-5.1050699200,30.3914897200,Tabora
"285",-0.0000000200,0.0000000000,
"286",-3.2217387000,37.2930788800,Lindi
"287",-3.5684938800,33.9996974100,Manyara
"288",-7.9080748400,31.5396909500,Kaskazini-Pemba
"289",-3.4119767400,30.7493785200,Shinyanga
"290",-6.8955899100,37.5977631200,Kusini Unguja
"291",-4.2624439900,34.8453941700,Kilimanjaro
"292",-3.1788140600,36.9079450600,Lindi
"293",-3.3045046400,35.7336383400,Kusini Unguja
"294",-3.3081503600,37.3703747400,Manyara
"295",-5.9734742100,35.8659388700,Kigoma
"296",-10.8466597300,39.7344507100,Tanga
"297",-1.8498743700,33.0485728900,Kagera
"298",-9.2478100700,32.6262126000,Kaskazini-Pemba
"299",-10.8766612700,38.6910327500,Tanga
"300",-2.5053079300,30.5121971400,Shinyanga
"301",-0.0000000200,0.0000000000,
"302",-3.7454854800,33.0212270500,Kagera
"303",-9.5752471200,33.7689767500,Tabora
"304",-4.3890837900,33.4309171100,Kilimanjaro
"305",-3.1525548400,31.8763276200,Kaskazini-Pemba
"306",-0.0000000200,0.0000000000,
"307",-9.3522683000,33.5962029200,Singida
"308",-4.3005271100,35.2550686200,Kusini Unguja
"309",-7.9593708000,39.6883286200,Pwani
"310",-10.5310447400,36.0326304500,Tanga
"311",-8.8748118400,33.6123705900,Shinyanga
"312",-9.6328601700,33.8783666000,Tabora
"313",-1.2890546600,30.7167274200,Ruvuma
"314",-7.1654101300,38.8628736100,Kusini-Pemba
"315",-3.5987874600,30.4743807000,Shinyanga
"316",-8.9390058300,32.0258239000,Kaskazini-Pemba
"317",-10.3209594400,40.3019871600,Tanga
"318",-5.1082191100,38.7834575300,Arusha
"319",-8.6421956000,34.2942458500,Shinyanga
"320",-10.2836755800,40.1167680500,Tanga
"321",-0.0000000200,0.0000000000,
"322",-6.2239350800,36.3539637800,Kigoma
"323",-0.0000000200,0.0000000000,
"324",-8.8509232400,39.4621124200,Kusini-Pemba
"325",-7.9720101200,31.3660252600,Kaskazini-Pemba
"326",-0.0000000200,0.0000000000,
"327",-4.8394417800,29.6918283300,Tabora
"328",-11.3553294400,34.8921710900,Tanga
"329",-5.9299010700,36.0458404100,Kigoma
"330",-9.9401477700,38.3612906100,Tanga
"331",-9.0829022900,34.5964805200,Tabora
"332",-9.3248117200,32.9475253200,Tabora
"333",-3.2886332500,33.5064310900,Manyara
"334",-3.1762559900,34.0679169800,Manyara
"335",-10.8767610400,37.1695960600,Tanga
"336",-5.6340459100,35.7020267800,Kilimanjaro
"337",-9.2126469100,34.4176936400,Kaskazini-Unguja
"338",-7.9507102500,36.8553306400,Kigoma
"339",-8.6586889700,31.8658544800,Kaskazini-Pemba
"340",-4.0300679900,33.4678221700,Kilimanjaro
"341",-8.7398641700,36.7141570000,Tanga
"342",-6.2333941300,36.5576310300,Kigoma
"343",-3.3445986100,36.6901363000,Lindi
"344",-4.4128095400,35.5144202500,Kusini Unguja
"345",-3.3144532000,37.5265568500,Manyara
"346",-0.0000000200,0.0000000000,
"347",-3.1465134000,36.7718852400,Lindi
"348",-11.1026743900,34.6529444800,Tanga
"349",-6.8461341300,38.1896680000,Kusini Unguja
"350",-10.5691917100,39.7344246100,Tanga
"351",-3.5622367600,36.9851669900,Kusini-Pemba
"352",-8.6139380100,34.3397270800,Shinyanga
"353",-4.7741328600,30.0380435100,Arusha
"354",-5.0420953200,34.6776108900,Kilimanjaro
"355",-8.5665449400,33.4569164700,Kaskazini-Pemba
"356",-3.5272555600,36.8318317800,Lindi
"357",-2.1333477600,31.4529863200,Kaskazini-Pemba
"358",-8.9510607800,33.7274381300,Shinyanga
"359",-2.9594595000,36.9471908500,Lindi
"360",-6.2201567200,36.4167010200,Kigoma
"361",-5.8446387800,37.0489980800,Kilimanjaro
"362",-9.6154048400,34.4015168000,Kaskazini-Unguja
"363",-4.0202653900,33.3558459900,Kilimanjaro
"364",-4.5037134700,30.2048236800,Arusha
"365",-7.6974066300,36.9597104900,Kigoma
"366",-3.3693270700,36.8468126400,Lindi
"367",-2.1519584300,33.4671947100,Kaskazini-Pemba
"368",-4.8807539000,33.1063826100,Kaskazini-Pemba
"369",-8.1335491600,36.6569727100,Kigoma
"370",-0.0000000200,0.0000000000,
"371",-3.1769266700,35.9183489200,Manyara
"372",-8.0823985000,36.4866906300,Kigoma
"373",-10.2625127600,35.6318286800,Tanga
"374",-9.0613773000,34.5830763700,Tabora
"375",-8.1412217400,39.1833693400,Kusini-Pemba
"376",-11.4471035600,36.8841466500,Tanga
"377",-6.1715907900,36.2349071600,Kigoma
"378",-11.3119134000,36.9619566200,Tanga
"379",-6.0842553100,36.7293826700,Kigoma
"380",-3.5481286200,37.5498356800,Lindi
"381",-3.3004636600,37.3347623600,Lindi
"382",-3.3252079000,35.6608577700,Kusini Unguja
"383",-2.9743272200,34.2176561300,Kaskazini-Pemba
"384",-8.8178838500,36.3543654300,Tanga
"385",-10.4573993400,35.3375837900,Tanga
"386",-7.4582565800,33.4284951500,Kaskazini-Pemba
"387",-4.2714054300,32.8186052000,Kilimanjaro
"388",-3.5842594200,36.6872946200,Lindi
"389",-9.8735671600,34.5039243200,Iringa
"390",-2.6736728000,33.3185581600,Kagera
"391",-8.8630432400,32.0472019800,Kaskazini-Pemba
"392",-9.1229785300,34.7696986700,Tabora
"393",-6.9025475700,39.1598872500,Kusini-Pemba
"394",-3.2613046300,37.5110334800,Manyara
"395",-4.2697886400,37.8891369200,Lindi
"396",-8.4671895800,34.9999969700,Kaskazini-Unguja
"397",-10.6670924200,39.3095106100,Tanga
"398",-10.9918339400,36.0438403700,Tanga
"399",-6.7713064800,37.8192640000,Kusini Unguja
"400",-10.9258901800,38.1178058500,Tanga
"401",-3.4653876300,36.9269349900,Lindi
"402",-2.0116374500,32.8806682200,Dar-Es-Salaam
"403",-9.4460246700,33.8250027800,Singida
"404",-2.9965852400,33.0916549600,Iringa
"405",-3.8495446400,32.6518532300,Kagera
"406",-2.8630691000,33.6447752400,Manyara
"407",-7.8673600400,35.5790002900,Kaskazini-Unguja
"408",-7.1001321300,37.2366796100,Kusini Unguja
"409",-11.4486429800,37.3233412800,Tanga
"410",-7.3669397200,30.6202888100,Kaskazini-Pemba
"411",-8.6671728800,34.8521484600,Kaskazini-Unguja
"412",-7.1328957900,36.9338658300,Kigoma
"413",-2.7845813000,30.9566886800,Shinyanga
"414",-3.7916445100,37.6466682100,Lindi
"415",-9.7214745600,34.4797207000,Iringa
"416",-2.5477047100,32.5084635600,Dar-Es-Salaam
"417",-6.9380129600,39.1784040700,Kusini-Pemba
"418",-11.3035035400,34.8351074900,Tanga
"419",-6.8202965000,37.0694658500,Kigoma
"420",-3.3925844500,37.4832636900,Manyara
"421",-3.2092818300,37.0304035000,Lindi
"422",-6.7204179900,39.0484857900,Kusini-Pemba
"423",-8.7012477100,34.3749434000,Shinyanga
"424",-7.7599238600,38.8395776400,Kusini-Pemba
"425",-3.2451682000,37.3548622900,Lindi
"426",-3.2093598400,35.9450082500,Kusini Unguja
"427",-1.2123144600,31.8273518200,Dodoma
"428",-6.9732059300,39.1788493300,Kusini-Pemba
"429",-8.8435735000,33.2488838900,Shinyanga
"430",-3.2971852600,37.2711933200,Lindi
"431",-3.8093187400,33.0127974500,Kagera
"432",-4.1369028900,35.8708769500,Lake Victoria
"433",-0.0000000200,0.0000000000,
"434",-9.1766566300,33.5422225800,Singida
"435",-3.4493582800,37.4108968500,Lindi
"436",-3.3048490600,36.6591814800,Lindi
"437",-3.6079163000,33.4696609600,Kagera
"438",-7.6582628900,39.1494301800,Kusini-Pemba
"439",-1.2126409000,31.6149849800,Dodoma
"440",-9.6112832200,37.9700823300,Tanga
"441",-9.9910937900,38.9669893800,Tanga
"442",-7.8557992800,36.8983997400,Kigoma
"443",-8.5823656700,34.8450591900,Kaskazini-Unguja
"444",-8.5458952700,36.0260793500,Kigoma
"445",-8.8816590600,39.4915132200,Kusini-Pemba
"446",-8.7523202800,33.4457440400,Shinyanga
"447",-2.8206758900,33.5279745300,Kagera
"448",-4.8748768800,29.8237629600,Tabora
"449",-9.2677375500,33.8892715800,Singida
"450",-10.9030841300,39.5705482800,Tanga
"451",-8.3830888800,33.0004511700,Kaskazini-Pemba
"452",-9.1223926900,34.7820795900,Tabora
"453",-3.4550472500,36.8540395500,Lindi
"454",-3.8322111200,33.8134193200,Mbeya
"455",-11.1360341300,38.2422457800,Tanga
"456",-8.0884658500,36.6990675600,Kigoma
"457",-9.2023408700,34.7047338400,Tabora
"458",-9.8625401700,39.0782197200,Tanga
"459",-3.8571483600,33.2823687300,Kagera
"460",-4.3451981500,37.8936679600,Lindi
"461",-6.4081386100,38.6750034100,Kusini-Pemba
"462",-1.6327688100,31.5261196700,Dodoma
"463",-3.1403549000,30.8746462700,Shinyanga
"464",-3.1267529200,37.6313946800,Lindi
"465",-3.0292337400,35.6894571600,Manyara
"466",-11.0930512100,37.1732779900,Tanga
"467",-10.4792700100,35.7640976800,Tanga
"468",-9.5203421900,37.8425512000,Tanga
"469",-5.5916503900,38.5170016700,Arusha
"470",-4.5582006000,38.2471201500,Lindi
"471",-6.3374300900,31.1714637000,Shinyanga
"472",-3.7967120200,33.4657283500,Kagera
"473",-8.3173297400,36.6824648700,Tanga
"474",-2.5420490700,30.7575028000,Shinyanga
"475",-9.4955450200,34.7786596500,Tabora
"476",-7.9543200100,38.9799439300,Kusini-Pemba
"477",-3.3443293300,36.6512490600,Lindi
"478",-3.1110771400,37.5985937400,Lindi
"479",-5.1468103300,34.0399371700,Kilimanjaro
"480",-2.9075165700,36.2546178700,Lindi
"481",-3.2775149400,32.8815165400,Dar-Es-Salaam
"482",-5.1079272300,30.3871316800,Tabora
"483",-3.3581148200,36.6733125100,Lindi
"484",-6.4395627000,35.5953859700,Kigoma
"485",-7.1013572500,39.4029941900,Kusini-Pemba
"486",-3.5972746400,36.6619050400,Lindi
"487",-6.1296263500,36.9842302000,Kigoma
"488",-3.0049507000,37.0732442700,Lindi
"489",-9.5064798100,35.0073936700,Tabora
"490",-10.2767253500,40.1084745600,Tanga
"491",-3.3669011800,32.2396916300,Kaskazini-Pemba
"492",-1.2168044800,31.6271534900,Dodoma
"493",-10.2144368800,36.1346260100,Tanga
"494",-3.6993183300,33.9260859700,Mbeya
"495",-10.7969953400,36.9656078900,Tanga
"496",-4.3673205700,37.8898645200,Lindi
"497",-8.4647870000,35.0081833800,Kaskazini-Unguja
"498",-10.8086739500,39.0049763300,Tanga
"499",-6.5532638000,38.9841151900,Kusini-Pemba
"500",-9.2600308000,35.1430004700,Tabora
"501",-7.1029520000,31.1692270500,Shinyanga
"502",-3.2475132400,33.4478015000,Manyara
"503",-7.0962791100,39.4337153400,Kusini-Pemba
"504",-3.2446331200,37.6041602200,Lindi
"505",-3.6420146700,30.8376289100,Shinyanga
"506",-1.4852492200,33.9836270900,Ruvuma
"507",-3.5292072700,36.7791247900,Lindi
"508",-7.6651410100,31.5551753800,Kaskazini-Pemba
"509",-3.3396615100,36.6484503400,Lindi
"510",-10.6347662000,38.6006525900,Tanga
"511",-4.5071378400,30.1027333700,Arusha
"512",-1.2845459500,31.8072431500,Dodoma
"513",-3.2758134500,35.8572377800,Kusini Unguja
"514",-8.8214240700,33.2389613300,Shinyanga
"515",-5.2709517900,38.8441556500,Arusha
"516",-4.5093274300,34.8252884300,Kilimanjaro
"517",-3.3678513300,36.7676484000,Lindi
"518",-3.7849058000,33.1287804400,Kagera
"519",-4.6619485000,38.2450519300,Lindi
"520",-3.1888718900,37.2054043500,Lindi
"521",-2.6794216300,33.6078808700,Dodoma
"522",-9.0811860700,35.0969228600,Tabora
"523",-10.9261109700,38.1199774300,Tanga
"524",-3.5957486300,33.5328196000,Mbeya
"525",-8.8360568100,33.2431621700,Shinyanga
"526",-10.2943062800,40.1800941500,Tanga
"527",-4.7494209000,38.3455779800,Lindi
"528",-9.8337217800,39.5880706500,Tanga
"529",-7.1636076200,35.7592185600,Kaskazini-Unguja
"530",-3.8629440500,33.0529040600,Kagera
"531",-8.9631983900,36.7607153600,Tanga
"532",-6.5605825000,38.8930855100,Kusini-Pemba
"533",-7.8728049200,32.4862151600,Kaskazini-Pemba
"534",-7.2686603100,38.0190060800,Kusini Unguja
"535",-8.6842769700,34.4650162400,Shinyanga
"536",-4.3821457800,35.3358100300,Kusini Unguja
"537",-6.9022495400,37.5677637200,Kusini Unguja
"538",-8.9861994400,33.6605602000,Singida
"539",-8.7874145700,35.8032025600,Kigoma
"540",-6.7282578700,38.8385879100,Kusini-Pemba
"541",-8.9987219200,33.6650915200,Singida
"542",-9.1568432600,33.8308011700,Singida
"543",-8.1129450600,35.4087944800,Kaskazini-Unguja
"544",-9.3714828900,34.2469532500,Kaskazini-Unguja
"545",-3.2502212100,37.5985576800,Lindi
"546",-4.2120206100,35.4367647600,Lake Victoria
"547",-7.3511377100,36.2827851500,Kaskazini-Unguja
"548",-11.1022973400,34.8191054800,Tanga
"549",-8.7873630200,36.3521916000,Tanga
"550",-7.4885057100,31.0201116600,Kaskazini-Pemba
"551",-5.0891953700,34.8871080100,Kilimanjaro
"552",-7.7175886700,35.9139580200,Kaskazini-Unguja
"553",-9.1362754200,34.7808109500,Tabora
"554",-10.6063012400,38.7563842700,Tanga
"555",-6.8421729800,33.2582495800,Kaskazini-Pemba
"556",-8.8592438300,34.0353778900,Shinyanga
"557",-6.6409205100,38.7881928800,Kusini-Pemba
"558",-2.8188686800,31.7569038300,Shinyanga
"559",-9.8915857300,35.3481005100,Tanga
"560",-8.1386234000,34.8573548600,Shinyanga
"561",-7.3266656900,39.2281330900,Kusini-Pemba
