title,studio,domestic_gross,foreign_gross,year,genre pull,pull from tmdb
Ted,Uni.,218800000,330600000,2012,"Comedy,Fantasy","[35, 14]"
Brave,BV,237300000,303200000,2012,"Adventure,Animation,Comedy",[28]
Wreck-It Ralph,BV,189400000,281800000,2012,"Adventure,Animation,Comedy","[10751, 16, 35, 12]"
Les Miserables (2012),Uni.,148800000,293000000,2012,,
The Intouchables (U.S.-only),Wein.,10200000,416400000,2012,,
Django Unchained,Wein.,162800000,262600000,2012,"Drama,Western","[18, 37]"
Prometheus,Fox,126500000,276900000,2012,"Adventure,Mystery,Sci-Fi","[878, 12, 9648]"
Snow White and the Huntsman,Uni.,155300000,241300000,2012,"Action,Adventure,Drama","[12, 14, 18]"
Taken 2,Fox,139900000,236300000,2012,"Action,Thriller","[28, 80, 53]"
Hotel Transylvania,Sony,148300000,210100000,2012,"Animation,Comedy,Family","[16, 35, 10751, 14]"
Dr. Seuss' The Lorax,Uni.,214000000,134800000,2012,,
Titanic 3D,Par.,57900000,285700000,2012,,
Journey 2: The Mysterious Island,WB (NL),103900000,231400000,2012,"Action,Adventure,Comedy","[12, 28, 878]"
The Expendables 2,LGF,85000000,229900000,2012,"Action,Adventure,Thriller","[28, 12, 53]"
Rise of the Guardians,P/DW,103400000,203500000,2012,"Action,Adventure,Animation","[16, 10751, 14]"
Wrath of the Titans,WB,83700000,221600000,2012,"Action,Adventure,Fantasy","[14, 12, 28]"
Battleship,Uni.,65400000,237600000,2012,"Action,Adventure,Sci-Fi","[53, 28, 12, 878]"
John Carter,BV,73100000,211100000,2012,"Action,Adventure,Sci-Fi","[28, 12, 878]"
The Bourne Legacy,Uni.,113200000,162900000,2012,"Action,Adventure,Thriller","[28, 53]"
Lincoln,BV,182200000,93100000,2012,"Biography,Drama,History","[36, 18]"
Dark Shadows,WB,79700000,165800000,2012,"Comedy,Fantasy,Horror","[35, 14]"
Resident Evil: Retribution,SGem,42300000,197700000,2012,"Action,Horror,Sci-Fi","[28, 27, 878]"
Silver Linings Playbook,Wein.,132100000,104300000,2012,"Comedy,Drama,Romance","[18, 35, 10749]"
American Reunion,Uni.,57000000,178000000,2012,Comedy,[35]
Argo,WB,136000000,96300000,2012,"Biography,Drama,Thriller","[18, 53]"
Jack Reacher,Par.,80100000,138300000,2012,"Action,Crime,Thriller","[80, 18, 53, 28]"
Safe House,Uni.,126400000,81700000,2012,Action,"[28, 53]"
21 Jump Street,Sony,138400000,63100000,2012,"Action,Comedy,Crime","[28, 35, 80]"
Total Recall (2012),Sony,58900000,139600000,2012,,
The Vow,SGem,125000000,71100000,2012,"Drama,Romance","[18, 10749]"
Mirror Mirror,Rela.,64900000,118100000,2012,"Adventure,Comedy,Drama","[12, 35, 18, 10751, 14]"
The Impossible,LG/S,19000000,161300000,2012,"Drama,History,Thriller","[53, 18]"
The Dictator,Par.,59700000,119700000,2012,Comedy,[35]
Looper,TriS,66500000,110000000,2012,"Action,Crime,Drama","[28, 53, 878]"
Magic Mike,WB,113700000,53500000,2012,"Comedy,Drama","[18, 35]"
Flight,Par.,93800000,68000000,2012,"Drama,Thriller",[18]
Underworld Awakening,SGem,62300000,97800000,2012,,
This Means War,Fox,54800000,101700000,2012,"Action,Comedy,Romance","[28, 35, 10749]"
The Secret World of Arrietty,BV,19200000,126400000,2012,,"[14, 16, 10751]"
Paranormal Activity 4,Par.,53900000,88900000,2012,"Horror,Mystery,Thriller",[27]
Step Up Revolution,LG/S,35100000,105400000,2012,"Drama,Music,Romance","[10402, 18, 10749]"
The Best Exotic Marigold Hotel,FoxS,46400000,90400000,2012,"Comedy,Drama,Romance","[18, 35]"
Zero Dark Thirty,Sony,95700000,37100000,2012,"Drama,Thriller","[53, 18, 36]"
Ghost Rider: Spirit of Vengeance,Sony,51800000,80800000,2012,"Action,Fantasy,Thriller","[28, 14, 53]"
Cloud Atlas,WB,27100000,103400000,2012,"Action,Drama,Mystery","[18, 878]"
The Woman in Black,CBS,54300000,73400000,2012,"Drama,Fantasy,Horror","[18, 27, 53]"
Chronicle (2012),Fox,64599999,62100000,2012,,
The Pirates! Band of Misfits,Sony,31100000,92000000,2012,"Adventure,Animation,Comedy",
Parental Guidance,Fox,77300000,42500000,2012,"Comedy,Family",[35]
Abraham Lincoln: Vampire Hunter,Fox,37500000,79000000,2012,"Action,Fantasy,Horror","[28, 14, 27]"
Pitch Perfect,Uni.,65000000,50300000,2012,"Comedy,Music,Romance","[35, 10402, 10749]"
Hope Springs,Sony,63500000,50700000,2012,"Comedy,Drama,Romance","[18, 35, 10749]"
ParaNorman,Focus,56000000,51100000,2012,"Adventure,Animation,Comedy","[10751, 16, 12, 35]"
The Campaign,WB,86900000,18000000,2012,Comedy,[35]
Let the Bullets Fly,Vari.,63000,104300000,2012,,
Star Wars: Episode I - The Phantom Menace (in 3D),Fox,43500000,59300000,2012,,
Project X,WB,54700000,48000000,2012,Comedy,"[35, 80]"
The Devil Inside,Par.,53300000,48500000,2012,Horror,"[53, 27]"
The Lucky One,WB,60500000,38900000,2012,"Drama,Romance","[18, 10749]"
Contraband,Uni.,66500000,29700000,2012,"Action,Crime,Drama","[53, 28, 18, 80]"
Think Like a Man,SGem,91500000,4500000,2012,"Comedy,Romance","[35, 10749]"
This Is 40,Uni.,67500000,20500000,2012,,[35]
The Inbetweeners Movie,WHE,36000,88000000,2012,,[35]
The Possession,LGF,49100000,36300000,2012,"Horror,Mystery,Thriller","[27, 53]"
What to Expect When You're Expecting,LGF,41200000,43200000,2012,"Comedy,Drama,Romance","[10749, 35, 18]"
The Thieves,WGUSA,686000,82800000,2012,,"[28, 80]"
Savages (2012),Uni.,47400000,35600000,2012,,
Frankenweenie,BV,35300000,46200000,2012,"Animation,Comedy,Family","[16, 35, 10751]"
Act of Valor,Rela.,70000000,11300000,2012,"Action,Adventure,Drama","[28, 53, 10752]"
Masquerade (2012),CJ,923000,79800000,2012,,
Sinister,LG/S,48100000,29600000,2012,"Horror,Mystery,Thriller","[9648, 27]"
The Grey,ORF,51600000,25700000,2012,"Action,Adventure,Drama","[18, 53, 28, 12]"
Diary of a Wimpy Kid: Dog Days,Fox,49000000,28100000,2012,"Comedy,Family","[35, 10751]"
To Rome with Love,SPC,16700000,56600000,2012,"Comedy,Music,Romance","[10749, 35, 18]"
Here Comes the Boom,Sony,45300000,27800000,2012,"Action,Comedy,Sport","[28, 35]"
Finding Nemo (3D),BV,41100000,28200000,2012,,
Anna Karenina,Focus,12800000,56100000,2012,0,"[18, 10749]"
The Watch,Fox,35400000,32900000,2012,"Action,Comedy,Horror","[28, 35, 878]"
Moonrise Kingdom,Focus,45500000,22800000,2012,"Adventure,Comedy,Drama","[35, 18, 10749]"
Tyler Perry's Madea's Witness Protection,LGF,65700000,1200000,2012,,
The Cabin in the Woods,LGF,42100000,24400000,2012,Horror,"[27, 35, 53]"
Beauty and the Beast (3D),BV,47600000,14400000,2012,,
Rock of Ages,WB (NL),38500000,20900000,2012,"Comedy,Drama,Musical","[35, 18, 10402, 10749]"
That's My Boy,Sony,36900000,20800000,2012,Comedy,[35]
The Odd Life of Timothy Green,BV,51900000,4200000,2012,"Comedy,Drama,Family","[14, 18, 35, 10751]"
The Three Stooges,Fox,44300000,10500000,2012,"Comedy,Family",[35]
The Five-Year Engagement,Uni.,28800000,25100000,2012,"Comedy,Romance","[10749, 35]"
Lawless,Wein.,37400000,16300000,2012,"Crime,Drama","[80, 18]"
Silent Hill: Revelation 3D,ORF,17500000,34800000,2012,,"[53, 27, 9648]"
Red Tails,Fox,49900000,489000,2012,"Action,Adventure,Drama","[18, 28, 12, 36, 10752]"
"Monsters, Inc. (3D)",BV,34000000,16200000,2012,,
Trouble with the Curve,WB,35800000,13200000,2012,"Drama,Sport","[18, 10749]"
Little White Lies,MPI,206000,48300000,2012,,
End of Watch,ORF,41000000,7100000,2012,"Action,Crime,Drama","[80, 18, 53]"
Man on a Ledge,LG/S,18600000,27600000,2012,"Action,Adventure,Crime","[28, 53, 80]"
Red Dawn (2012),FD,44800000,,2012,,
House at the End of The Street,Rela.,31600000,12700000,2012,"Drama,Horror,Thriller","[27, 53]"
The Guilt Trip,Par.,37100000,4700000,2012,"Comedy,Drama",[35]
A Werewolf Boy,CJ,343000,41300000,2012,,
Safe (2012),LGF,17100000,23200000,2012,,
Killing Them Softly,Wein.,15000000,22900000,2012,"Crime,Thriller","[80, 53]"
Chernobyl Diaries,WB,18100000,19000000,2012,"Horror,Mystery,Thriller","[27, 53]"
One For the Money,LGF,26400000,10500000,2012,"Action,Comedy,Crime","[28, 35, 80]"
Dredd,LGF,13400000,22200000,2012,"Action,Crime,Sci-Fi","[28, 878]"
Tyler Perry's Good Deeds,LGF,35000000,553000,2012,,
Arbitrage,RAtt.,7900000,27600000,2012,"Drama,Thriller","[18, 53]"
Chimpanzee,BV,29000000,5900000,2012,,[99]
Alex Cross,LG/S,25900000,8700000,2012,"Action,Crime,Mystery","[28, 53, 80, 9648]"
Salmon Fishing in the Yemen,CBS,9000000,25500000,2012,,"[18, 10749, 35]"
Fetih 1453: The Conquest of Constantinople,NeoC,35700,34400000,2012,,
Cirque Du Soleil: Worlds Away,Par.,12500000,21600000,2012,Fantasy,"[14, 10751, 10402, 18]"
The Perks of Being a Wallflower,LG/S,17700000,15600000,2012,Drama,[18]
Haywire,Rela.,18900000,14400000,2012,"Action,Drama,Thriller","[28, 53, 9648]"
Katy Perry: Part of Me,Par.,25300000,7400000,2012,"Documentary,Music","[99, 10402]"
Lockout,FD,14300000,17900000,2012,"Action,Sci-Fi,Thriller","[28, 53, 878]"
Joyful Noise,WB,30900000,226000,2012,"Comedy,Drama,Music","[35, 10402]"
Premium Rush,Sony,20300000,10800000,2012,"Action,Crime,Thriller","[80, 28, 53]"
The Raven,Rela.,16000000,13600000,2012,"Crime,Mystery,Thriller","[27, 28, 53, 878]"
Rowdy Rathore,UTV,777000,28600000,2012,,[28]
Dragon (2012),RTWC,11100,29100000,2012,,
Bol Bachchan,FIP,1200000,27600000,2012,,[35]
The Master,Wein.,16399999,11900000,2012,Drama,[18]
Rust and Bone,SPC,2100000,23700000,2012,,"[18, 10749]"
Big Miracle,Uni.,20200000,4600000,2012,"Biography,Drama,Family","[12, 18, 10749]"
Sparkle (2012),TriS,24400000,240000,2012,,
To the Arctic (IMAX),WB,14600000,9100000,2012,,
Hitchcock,FoxS,6000000,17600000,2012,,[18]
A Thousand Words,P/DW,18500000,3600000,2012,"Comedy,Drama","[18, 35]"
Wanderlust,Uni.,17500000,4200000,2012,Fantasy,"[35, 10749]"
Beasts of the Southern Wild,FoxS,12800000,8300000,2012,"Adventure,Drama,Fantasy","[18, 14, 12]"
Polisse,IFC,211000,20200000,2012,"Crime,Drama",[18]
Amour,SPC,6700000,13100000,2012,"Drama,Romance","[18, 10749]"
The Man with the Iron Fists,Uni.,15600000,4099999,2012,Action,[28]
Solomon Kane,RTWC,,19600000,2012,,
Seven Psychopaths,CBS,15000000,4400000,2012,"Comedy,Crime","[35, 80]"
Gone,LG/S,11700000,6400000,2012,,"[9648, 53, 18]"
Norwegian Wood,RF,13000,17600000,2012,,
The Cold Light of Day,LG/S,3800000,13100000,2012,"Action,Thriller","[28, 53, 9648]"
My Way (2012),CJ,70200,16500000,2012,,
Tomorrow When the War Began,Free,4900,16500000,2012,,
We Have a Pope,IFC,548000,15600000,2012,,"[18, 35]"
Headhunters,Magn.,1200000,14500000,2012,,"[53, 80]"
Hit and Run,ORF,13700000,704000,2012,,
War of the Buttons (2012),Wein.,47800,13800000,2012,,
Red Lights (2012),MNE,52600,13500000,2012,,
The Words,CBS,11500000,1700000,2012,"Drama,Mystery,Romance","[18, 53]"
Playing for Keeps,FD,13100000,,2012,"Comedy,Romance,Sport","[35, 10749]"
Silent House,ORF,12800000,347000,2012,"Drama,Horror,Mystery","[27, 9648]"
Friends with Kids,RAtt.,7300000,5800000,2012,,"[35, 10749]"
The Well-Digger's Daughter,KL,386000,12200000,2012,,
Klown,Drft.,68800,12400000,2012,,[35]
People Like Us,BV,12400000,,2012,"Comedy,Drama",[18]
Seeking Justice,Anch.,412000,11900000,2012,,"[28, 18, 53]"
Bachelorette,RTWC,448000,11500000,2012,"Comedy,Romance","[35, 10749]"
This Must Be the Place,Wein.,144000,11600000,2012,,[18]
Fun Size,Par.,9400000,2000000,2012,"Adventure,Comedy",[35]
Rec 3: Genesis,Magn.,9600,10100000,2012,,
Delicacy,Cohen,499000,9200000,2012,,"[18, 35, 10749]"
Seeking a Friend for the End of the World,Focus,7100000,2600000,2012,"Adventure,Comedy,Drama","[35, 18, 10749, 878]"
The Apparition,WB,4900000,4700000,2012,"Horror,Thriller","[27, 53]"
For Greater Glory,ArcEnt,5700000,4000000,2012,,
Hysteria,SPC,1800000,7700000,2012,,"[35, 10749]"
Bernie,MNE,9200000,,2012,"Biography,Comedy,Crime","[35, 80, 18]"
The Sessions,FoxS,6000000,3100000,2012,"Biography,Comedy,Drama","[18, 10749, 35]"
Ruby Sparks,FoxS,2500000,6600000,2012,,"[35, 10749, 14, 18]"
Hyde Park on Hudson,Focus,6400000,2500000,2012,,"[35, 18, 36]"
On the Road,IFC,744000,8000000,2012,"Adventure,Drama,Romance","[12, 18]"
Boy (2012),PalUni,256000,8400000,2012,,
Piranha 3DD,W/Dim.,377000,8100000,2012,,"[27, 53, 35]"
Easy Money (2012),Wein.,206000,8199999,2012,,
Space Dogs 3D,EpicPics,14400,8300000,2012,,
Bel Ami,Magn.,120000,8199999,2012,,"[10749, 18]"
Promised Land (2012),Focus,7600000,541000,2012,,
Iron Sky,EOne,122000,8000000,2012,,"[28, 35, 878]"
Casa De Mi Padre,LGF,5900000,2100000,2012,"Comedy,Western","[35, 37]"
Heroine,UTV,599000,7400000,2012,,
A Royal Affair,Magn.,1500000,6000000,2012,,"[18, 36, 10749]"
All Together,KL,43200,7200000,2012,,
My Worst Nightmare,Strand,22000,7100000,2012,,[35]
The Collection,LD,6800000,,2012,"Action,Horror,Thriller","[27, 53]"
Monsieur Lazhar (U.S.-only),MBox,2000000,4600000,2012,,
Goon,Magn.,4200000,2300000,2012,,[35]
Cosmopolis,EOne,764000,5300000,2012,,[18]
Chasing Mavericks,Fox,6000000,600,2012,"Biography,Drama,Sport",[18]
Declaration of War,IFC,59100,5800000,2012,,[18]
Puella Magi Madoka Magica the Movie,Elev.,180000,5600000,2012,,
Albert Nobbs,RAtt.,3000000,2600000,2012,"Drama,Romance",[18]
In Darkness,SPC,1000000,4500000,2012,,"[18, 10752]"
Won't Back Down,Fox,5300000,,2012,Drama,[18]
Farewell My Queen,Cohen,1600000,3700000,2012,,
The Tall Man,Imag.,,5200000,2012,,[99]
Girl in Progress,LGF,2600000,2000000,2012,,"[35, 18]"
"Jeff, Who Lives at Home",ParV,4300000,148000,2012,"Comedy,Drama","[18, 35]"
Barbara,AF,1000000,3100000,2012,,
The Raid: Redemption,SPC,4099999,,2012,,
Keith Lemon: The Film,,,4000000,2012,,
Safety Not Guaranteed,FD,4000000,,2012,"Comedy,Drama,Romance","[35, 10749, 878, 18]"
Nitro Circus the Movie 3D,ArcEnt,3400000,526000,2012,,
"Lula, Son of Brazil",NYer,,3800000,2012,,
The Lady,Cohen,355000,3400000,2012,,[18]
Branded,RAtt.,354000,3400000,2012,,[878]
The Rabbi's Cat,GK,23400,3700000,2012,,"[35, 16]"
Searching for Sugar Man,SPC,3700000,,2012,,"[99, 10402]"
Killer Joe,LD,2000000,1700000,2012,"Crime,Drama,Thriller","[80, 18, 53]"
Hara-Kiri: Death of a Samurai,Trib.,75700,3400000,2012,,
Robot & Frank,Gold.,3300000,,2012,"Comedy,Crime,Drama","[878, 35, 18, 80]"
Raiders of the Lost Ark (IMAX),Par.,3100000,,2012,,
Celeste and Jesse Forever,SPC,3100000,,2012,,
Jab Tak Hai Jaan,Yash,3000000,,2012,"Drama,Romance","[18, 10749]"
Intruders,MNE,69100,2900000,2012,,"[53, 27, 14]"
Talaash,Relbig.,2900000,,2012,,"[80, 18, 53]"
Barfi!,UTV,2800000,,2012,,
A Simple Life,CL,192000,2600000,2012,,[18]
Samsara,Osci.,2700000,,2012,"Documentary,Music","[18, 99]"
Simon and the Oaks,TFA,151000,2400000,2012,,
Jiro Dreams of Sushi,Magn.,2600000,,2012,,[99]
Dabangg 2,Eros,2500000,,2012,,"[28, 35]"
Kid With a Bike,IFC,1500000,1000000,2012,,
The Queen of Versailles,Magn.,2400000,,2012,,[99]
Ek Tha Tiger,Yash,2300000,,2012,,
Chico & Rita,GK,351000,1900000,2012,,"[16, 10402, 10749]"
Stolen (2012),MNE,304000,1800000,2012,,
Footnote,SPC,2000000,,2012,,"[18, 35]"
The Imposter,IM,898000,1100000,2012,,"[99, 9648]"
Agneepath,Eros,2000000,,2012,,
The Day I Saw Your Heart,FM,3500,2000000,2012,,
English Vinglish,Eros,1900000,,2012,,"[35, 18, 10751]"
Housefull 2,Eros,1800000,,2012,,"[18, 35, 10749]"
The Cup (2012),Myr.,,1800000,2012,,
Tales of the Night,GK,11000,1700000,2012,,
Beloved (2012),IFC,138000,1500000,2012,,
360,Magn.,100000,1600000,2012,,"[18, 10749]"
2 Days in New York,Magn.,633000,1000000,2012,,"[35, 18, 10749]"
Your Sister's Sister,IFC,1600000,,2012,"Comedy,Drama","[18, 35]"
Hermano,MBox,29900,1600000,2012,,
Lay the Favorite,RTWC,21000,1600000,2012,,"[18, 35]"
Soldiers of Fortune,RAtt.,38900,1500000,2012,,"[28, 12]"
A Late Quartet,EOne,1600000,,2012,,"[10402, 18]"
I Wish,Magn.,146000,1400000,2012,,[18]
The Salt of Life,Zeit.,317000,1200000,2012,,
Chicken with Plums,SPC,254000,1200000,2012,,"[35, 18]"
Marley,Magn.,1400000,,2012,,"[10402, 99]"
The Paperboy,MNE,693000,661000,2012,"Crime,Drama,Mystery","[53, 18, 9648]"
Chasing Ice,SD,1300000,,2012,,[99]
Unforgivable,Strand,154000,1200000,2012,,[18]
A Little Bit of Heaven,MNE,15400,1300000,2012,"Comedy,Drama,Fantasy","[35, 18, 10749]"
The Other Son,Cohen,1300000,,2012,,[18]
Meerkats,NGE,778000,482000,2012,,
"For a Good Time, Call...",Focus,1300000,,2012,,"[35, 18]"
Take This Waltz,Magn.,1200000,,2012,,"[18, 35]"
Cocktail (2012),Eros,1200000,,2012,,
Once Upon a Time in Anatolia,CGld,152000,1000000,2012,,
Ek Main Aur Ekk Tu,UTV,1200000,,2012,,"[18, 35, 10749]"
The Deep Blue Sea,MBox,1100000,,2012,,"[18, 10749]"
Coriolanus,Wein.,757000,315000,2012,0,"[18, 53]"
Diana Vreeland: The Eye Has to Travel,Gold.,1000000,,2012,,[99]
First Position,IFC,1000000,,2012,,"[35, 99, 18]"
Damsels in Distress,SPC,1000000,,2012,"Comedy,Drama,Romance","[35, 10749]"
Rampart,MNE,973000,,2012,,"[80, 18]"
Elles,KL,158000,754000,2012,,[18]
W.E.,Wein.,583000,285000,2012,,"[18, 10749]"
Breathing,KL,4600,803000,2012,,[18]
Darling Companion,SPC,794000,,2012,"Comedy,Drama,Romance","[18, 10749]"
Teri Meri Kahaani,Eros,781000,,2012,,
Son of Sardaar,Eros,772000,,2012,,
Agent Vinod,Eros,698000,,2012,,
Student of the Year,Eros,670000,,2012,,
The Polar Express (2012 re-issue),WB,669000,,2012,,
Holy Motors,IM,641000,,2012,"Drama,Fantasy","[18, 14]"
Free Men,FM,53800,564000,2012,,"[18, 36]"
"Peace, Love and Misunderstanding",IFC,591000,,2012,,
Undefeated (2012),Wein.,562000,,2012,,
Sister (2012),AF,155000,400000,2012,,
Vicky Donor,Eros,549000,,2012,,"[35, 10749]"
Being Flynn,Focus,540000,,2012,,[18]
Ai Weiwei: Never Sorry,IFC,534000,,2012,,[99]
Where Do We Go Now?,SPC,532000,,2012,,"[18, 35]"
Bully (2012),Wein.,279000,182000,2012,,
Ferrari Ki Sawaari,Eros,434000,,2012,,
Dark Tide,WHE,,432000,2012,,"[53, 12, 18]"
Apartment 143,Magn.,400,426000,2012,,
Sound of My Voice,FoxS,408000,,2012,"Drama,Mystery,Sci-Fi","[878, 18, 9648, 53]"
Khiladi 786,Eros,379000,,2012,"Action,Comedy","[28, 35]"
Smashed,SPC,377000,,2012,,"[35, 18]"
Universal Soldier: Day of Reckoning,Magn.,5500,364000,2012,,"[28, 878, 53]"
The Oranges,ATO,366000,,2012,,"[35, 10749, 18]"
Liberal Arts,IFC,327000,,2012,,"[10749, 35, 18]"
Compliance,Magn.,319000,,2012,"Biography,Crime,Drama","[18, 53, 80, 9648]"
Back to 1942,CL,313000,,2012,,[18]
The Flowers of War,WHE,311000,,2012,,"[18, 36, 10752]"
Something From Nothing: The Art of Rap,IM,288000,,2012,,[99]
Love in the Buff,CL,256000,,2012,,"[35, 10749]"
Lola Versus,FoxS,253000,,2012,,[35]
Keep the Lights On,MBox,246000,,2012,,"[18, 10749]"
Gerhard Richter Painting,KL,243000,,2012,,[99]
Trishna,IFC,240000,,2012,,[18]
Elena,Zeit.,233000,,2012,,"[18, 53]"
Tezz,Eros,230000,,2012,,
The Viral Factor,CL,220000,,2012,,
Neil Young Journeys,SPC,215000,,2012,,"[10402, 99]"
Tai Chi Zero,Vari.,212000,,2012,,"[28, 18, 35]"
The House I Live In,Abr.,211000,,2012,,[99]
10 Years,Anch.,203000,,2012,,"[35, 18]"
17 Girls,Strand,15100,186000,2012,,[18]
Tim & Eric's Billion Dollar Movie,Magn.,201000,,2012,,
Any Day Now,MBox,201000,,2012,,[18]
Tere Naal Love Ho Gaya,UTV,178000,,2012,,
The Hunter (2012),Magn.,177000,,2012,,
Butter,RTWC,105000,70700,2012,,[35]
Kill List,IFC,29100,143000,2012,"Crime,Drama,Horror","[27, 53, 80]"
Flying Swords of Dragon Gate,IM,170000,,2012,,
Joker,UTV,169000,,2012,,
Dark Horse,BM&DH,166000,,2012,,[18]
Shirin Farhad Ki Toh Nikal Padi,Eros,156000,,2012,,
Bullhead,Drft.,152000,,2012,,"[80, 18]"
Chakravyuh,Eros,152000,,2012,,[53]
Luv Shuv Tey Chicken Khurana,UTV,144000,,2012,,[35]
High School,Anch.,139000,,2012,Comedy,[35]
Warriors of the Rainbow: Seediq Bale,WGUSA,136000,,2012,,
The Loneliest Planet,IFC,130000,,2012,,[18]
Forgiveness of Blood,IFC,127000,,2012,,
Toys in the Attic,Hann.,64900,61600,2012,,
"Turn Me On, Dammit!",NYer,126000,,2012,,"[18, 35]"
God Bless America,Magn.,123000,,2012,,"[35, 18]"
Bullet Vanishes,CL,118000,,2012,,
The Woman in the Fifth,ATO,114000,,2012,,"[53, 9648]"
5 Broken Cameras,KL,110000,,2012,,
Hello I Must Be Going,Osci.,107000,,2012,,"[18, 35, 10749]"
The Magic of Belle Isle,Magn.,102000,,2012,,"[35, 18]"
"Oslo, August 31st",Strand,101000,,2012,,[18]
Wuthering Heights (2012),Osci.,101000,,2012,,
Mugamoodi,UTV,101000,,2012,,"[28, 18]"
V/H/S,Magn.,100000,,2012,,"[53, 27]"
Goodbye First Love,IFC,95000,,2012,,"[18, 10749]"
Marina Abramovic: The Artist is Present,MBox,86600,,2012,,
The Eye of the Storm,SEG,83600,,2012,,[18]
Wagner & Me,FRun,37700,41000,2012,,"[10402, 99]"
The Innkeepers,Magn.,78400,,2012,"Drama,Horror,Mystery","[27, 53]"
This is Not a Film,PalT,77000,,2012,,[99]
The Island President,Gold.,76400,,2012,,[99]
Detachment,Trib.,72700,,2012,,[18]
The Green Wave,RF,,70100,2012,,[]
Attenberg,Strand,24000,45900,2012,,[18]
Deadfall (2012),Magn.,66400,,2012,,
Girlfriend Boyfriend - GF BF,CL,64400,,2012,,
Vulgaria,CL,59100,,2012,,[35]
The Turin Horse,CGld,56400,,2012,,[18]
Jodi Breakers,Yash,52600,,2012,,"[35, 10749]"
Painted Skin: The Resurrection,WGUSA,50400,,2012,,"[18, 14]"
"All's Well, End's Well (2012)",CL,47900,,2012,,
North Sea Texas,Strand,28300,16700,2012,,"[18, 10749]"
Double Trouble,CL,44800,,2012,,"[28, 12, 35]"
The Fairy,KL,38400,,2012,,"[35, 18]"
Hit So Hard,Vari.,34000,,2012,,[99]
Kalakalappu@Masala Cafe,UTV,30900,,2012,,
The Bay,RAtt.,30700,,2012,,"[27, 878, 53]"
You've Been Trumped,ICir,29300,,2012,,[99]
Here (2012),Strand,26700,,2012,,
In Another Country,KL,25100,,2012,,
The First Time,Gold.,22800,,2012,"Comedy,Drama,Romance","[18, 35, 10749]"
Bonsai,Strand,21300,,2012,,[18]
The Day,Anch.,21000,,2012,,"[28, 18, 27, 878]"
28 Hotel Rooms,Osci.,18900,,2012,,"[18, 10749]"
Lovely Molly,Imag.,18500,,2012,,"[27, 53]"
Juan of the Dead,Outs,18000,,2012,,"[27, 35]"
4:44: Last Day on Earth,IFC,17800,,2012,,
Little Birds,MNE,17700,,2012,,[18]
Return (2012),Da.,16100,,2012,,
Alps,KL,16100,,2012,,
Patience (After Sebald),CGld,15900,,2012,,
Take Me Home,Mont.,15800,,2012,,"[35, 10749]"
Reuniting the Rubins,Mont.,13600,,2012,,"[35, 18, 10751]"
Cirkus Columbia,Strand,3500,9500,2012,,
Grassroots,Gold.,12400,,2012,,"[35, 18]"
Husbands in Goa,UTV,10100,,2012,,
Starry Starry Night,CL,10000,,2012,,
Corpo Celeste,FM,8900,,2012,,[18]
Dreams of a Life,Strand,8400,,2012,,"[18, 99]"
The Babymakers,MNE,7900,,2012,,[35]
Las Acacias,OutF,6000,,2012,,
The Good Doctor,Magn.,5200,,2012,,"[18, 53, 9648]"
Liar's Autobiography,BSM,5100,,2012,,
Sleepless Night,Trib.,3400,,2012,,
ATM,IFC,3000,,2012,,"[27, 53]"
About Cherry,IFC,3000,,2012,,[18]
Perfect Sense,IFC,3000,,2012,,"[18, 878, 10749]"
Cheerful Weather for the Wedding,IFC,2700,,2012,,"[18, 35, 10749]"
The Decoy Bride,IFC,800,,2012,,"[18, 35, 10749]"
Death of a Superhero,Trib.,600,,2012,,"[16, 18]"
Frozen,BV,400700000,875700000,2013,"Adventure,Drama,Sport",[53]
Iron Man 3,BV,409000000,805800000,2013,"Action,Adventure,Sci-Fi","[28, 12, 878]"
Despicable Me 2,Uni.,368100000,602700000,2013,"Adventure,Animation,Comedy","[16, 35, 10751]"
The Hobbit: The Desolation of Smaug,WB (NL),258399999,700000000,2013,"Adventure,Fantasy","[12, 14, 28]"
The Hunger Games: Catching Fire,LGF,424700000,440300000,2013,"Action,Adventure,Sci-Fi","[12, 28, 878]"
Fast & Furious 6,Uni.,238700000,550000000,2013,,"[28, 53, 80]"
Monsters University,BV,268500000,475700000,2013,"Adventure,Animation,Comedy","[16, 10751]"
Gravity,WB,274100000,449100000,2013,"Drama,Sci-Fi,Thriller","[878, 53, 18]"
Man of Steel,WB,291000000,377000000,2013,"Action,Adventure,Sci-Fi","[28, 12, 14, 878]"
Thor: The Dark World,BV,206400000,438200000,2013,"Action,Adventure,Fantasy","[28, 12, 14]"
The Croods,Fox,187200000,400000000,2013,"Action,Adventure,Animation","[28, 12, 16, 35, 10751, 14]"
World War Z,Par.,202400000,337600000,2013,"Action,Adventure,Horror","[28, 18, 27, 878, 53]"
Oz The Great and Powerful,BV,234900000,258399999,2013,"Adventure,Family,Fantasy","[14, 12, 10751]"
Star Trek Into Darkness,Par.,228800000,238600000,2013,"Action,Adventure,Sci-Fi","[28, 12, 878]"
The Wolverine,Fox,132600000,282300000,2013,"Action,Adventure,Sci-Fi","[28, 878, 12, 14]"
Pacific Rim,WB,101800000,309200000,2013,"Action,Adventure,Sci-Fi","[28, 878, 12]"
The Wolf of Wall Street,Par.,116900000,275100000,2013,"Biography,Crime,Drama","[80, 18, 35]"
