,genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count
73,"[28, 878, 53, 80]",31867,en,Repo Men,12.437,2010-03-19,Repo Men,6.2,976
74,"[16, 28]",43641,en,Superman/Shazam!: The Return of Black Adam,12.395,2010-11-09,Superman/Shazam!: The Return of Black Adam,7.1,140
75,[16],28874,ja,サマーウォーズ,12.275,2010-10-13,Summer Wars,7.5,447
76,"[28, 12, 18, 10751]",38575,en,The Karate Kid,12.256,2010-06-10,The Karate Kid,6.3,3140
77,"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.256,2010-03-19,Diary of a Wimpy Kid,6.0,736
78,"[9648, 27, 28]",29427,en,The Crazies,12.246,2010-02-26,The Crazies,6.2,1036
79,"[28, 53, 80, 9648]",33613,sv,Luftslottet som sprängdes,12.235,2010-10-29,The Girl Who Kicked the Hornet's Nest,7.0,705
80,"[35, 10749]",39451,en,Little Fockers,12.153,2010-12-21,Little Fockers,5.6,1883
81,"[28, 12, 35, 80, 53]",39514,en,RED,12.082,2010-10-14,RED,6.6,4162
82,"[18, 10749, 10752]",22971,en,Dear John,12.048,2010-02-04,Dear John,6.8,2676
83,[27],22894,en,Legion,12.032,2010-01-22,Legion,5.3,1154
84,"[12, 14, 16, 878]",37933,ja,ゲド戦記,12.005,2010-08-13,Tales from Earthsea,6.6,502
85,"[10749, 35]",25195,en,Leap Year,11.821,2010-01-08,Leap Year,6.7,990
86,"[35, 10749, 18]",38408,en,Life As We Know It,11.806,2010-10-02,Life As We Know It,6.8,1748
87,"[18, 28, 53, 80, 9648]",24253,sv,Flickan som lekte med elden,11.655,2010-07-09,The Girl Who Played with Fire,7.0,881
88,"[18, 53]",38363,en,Fair Game,11.624,2010-05-20,Fair Game,6.6,384
89,"[35, 10402, 10770]",44244,en,Camp Rock 2: The Final Jam,11.542,2010-09-03,Camp Rock 2: The Final Jam,6.1,878
90,"[10752, 28, 12, 18, 53]",22972,en,Green Zone,11.519,2010-03-11,Green Zone,6.4,1176
91,"[28, 12, 16]",30061,en,Justice League: Crisis on Two Earths,11.498,2010-02-23,Justice League: Crisis on Two Earths,7.2,277
92,"[18, 10749]",23169,en,Remember Me,11.453,2010-03-12,Remember Me,7.1,2079
93,"[12, 18, 53]",44115,en,127 Hours,11.435,2010-11-05,127 Hours,7.0,4469
94,"[9648, 14, 35, 12]",47533,de,Scooby-Doo! Curse of the Lake Monster,11.372,2010-10-15,Scooby-Doo! Curse of the Lake Monster,5.6,171
95,"[35, 27]",43593,en,Piranha 3D,11.302,2010-08-20,Piranha 3D,5.3,1029
96,"[12, 18, 28, 14]",37861,en,Valhalla Rising,11.26,2010-07-16,Valhalla Rising,6.0,582
97,"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,2010-01-29,Edge of Darkness,6.3,794
98,"[14, 12, 28, 9648]",35552,fr,Les Aventures extraordinaires d'Adèle Blanc-Sec,11.221,2010-04-14,The Extraordinary Adventures of Adèle Blanc-Sec,6.0,671
99,"[35, 10749]",32856,en,Valentine's Day,11.187,2010-02-11,Valentine's Day,5.8,1907
100,"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,2010-11-19,The Next Three Days,7.0,1469
101,"[16, 10751, 10770]",50393,en,Kung Fu Panda Holiday,11.083,2010-11-26,Kung Fu Panda Holiday,6.6,110
102,"[18, 53, 9648]",26388,en,Buried,10.888,2010-09-24,Buried,6.6,1487
103,"[28, 18, 36]",11645,ja,乱,10.885,1985-09-26,Ran,8.1,600
104,"[12, 28, 35, 53]",41135,en,Operation: Endgame,10.799,2010-07-20,Operation: Endgame,4.9,88
105,"[35, 12, 10751, 14]",38745,en,Gulliver's Travels,10.768,2010-12-25,Gulliver's Travels,5.1,1282
106,"[16, 12, 10751, 14]",41216,en,Legend of the Guardians: The Owls of Ga'Hoole,10.754,2010-09-24,Legend of the Guardians: The Owls of Ga'Hoole,6.6,1223
107,"[28, 35, 10751]",23172,en,The Spy Next Door,10.746,2010-01-15,The Spy Next Door,5.7,650
108,"[35, 99, 28]",16290,en,Jackass 3D,10.715,2010-10-15,Jackass 3D,6.3,655
109,[18],13078,en,The Babysitters,10.71,2008-05-09,The Babysitters,5.3,125
110,"[28, 53, 80]",15357,fr,Banlieue 13 - Ultimatum,10.661,2010-02-05,District 13: Ultimatum,6.1,555
111,"[53, 27]",10664,es,[REC]²,10.66,2010-07-09,[REC]²,6.5,920
112,"[12, 16, 10751, 35]",51170,en,Open Season 3,10.614,2010-01-25,Open Season 3,5.5,237
113,"[35, 18, 10749]",38357,en,Morning Glory,10.595,2010-11-10,Morning Glory,6.3,717
114,"[53, 80, 18, 28]",25941,en,Harry Brown,10.555,2010-04-30,Harry Brown,6.8,505
115,"[35, 10751, 28, 14]",39691,en,Cats & Dogs: The Revenge of Kitty Galore,10.544,2010-07-30,Cats & Dogs: The Revenge of Kitty Galore,4.9,273
116,[18],45317,en,The Fighter,10.395,2010-12-17,The Fighter,7.3,2325
117,"[18, 10402, 10749]",27,en,9 Songs,10.332,2004-09-09,9 Songs,4.9,170
118,"[28, 53, 10749]",37710,en,The Tourist,10.307,2010-12-10,The Tourist,6.1,3133
119,"[18, 10749]",40080,en,The Cutting Edge: Fire & Ice,10.303,2010-03-14,The Cutting Edge: Fire & Ice,6.0,63
120,[878],830,en,Forbidden Planet,10.274,1956-03-15,Forbidden Planet,7.3,388
121,"[16, 10751, 14]",34134,en,Barbie in A Mermaid Tale,10.252,2010-03-01,Barbie in A Mermaid Tale,6.7,282
122,"[18, 28, 36]",14756,cn,葉問,10.23,2010-10-01,Ip Man,7.7,1906
123,"[28, 35, 53, 10749]",37821,en,Killers,10.221,2010-06-04,Killers,5.8,1314
124,"[35, 10749]",38303,en,You Again,10.208,2010-09-24,You Again,6.2,734
125,"[27, 9648, 53]",44040,en,Devil,10.203,2010-09-17,Devil,5.9,1516
126,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,2010-04-23,The Losers,6.2,844
127,"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.188,2010-08-13,Animal Kingdom,6.8,399
128,"[18, 80]",33909,en,Wall Street: Money Never Sleeps,10.177,2010-09-20,Wall Street: Money Never Sleeps,6.0,797
129,"[18, 53, 878]",43933,en,Monsters,10.175,2010-10-29,Monsters,6.2,848
130,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,2010-03-26,Hot Tub Time Machine,6.0,1383
131,"[16, 35, 10751, 80, 9648]",14447,en,A Matter of Loaf and Death,10.1,2010-02-19,A Matter of Loaf and Death,7.2,219
132,"[18, 35, 10749]",43347,en,Love & Other Drugs,10.09,2010-11-24,Love & Other Drugs,6.9,2509
133,"[14, 18, 10751]",40205,en,16 Wishes,10.068,2010-06-25,16 Wishes,5.9,688
134,"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,2010-09-15,Never Let Me Go,6.8,1294
135,"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,2010-10-08,It's Kind of a Funny Story,7.0,1324
136,[18],38167,en,Eat Pray Love,9.991,2010-08-12,Eat Pray Love,6.0,1208
137,"[35, 18, 10749]",37786,en,Sex and the City 2,9.986,2010-05-27,Sex and the City 2,5.9,809
138,"[35, 80, 18]",37495,en,Four Lions,9.968,2010-11-05,Four Lions,7.0,621
139,"[35, 14, 10749]",13477,en,When in Rome,9.926,2010-01-29,When in Rome,5.9,703
140,"[28, 35, 18]",27573,en,The Bounty Hunter,9.861,2010-03-19,The Bounty Hunter,5.7,1627
141,[18],39013,en,Winter's Bone,9.824,2010-06-11,Winter's Bone,6.9,931
142,"[18, 10749]",52338,en,Waiting for Forever,9.819,2010-02-10,Waiting for Forever,5.7,172
143,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,2010-10-08,My Soul to Take,5.4,247
144,"[27, 9648, 53]",23437,en,A Nightmare on Elm Street,9.795,2010-04-30,A Nightmare on Elm Street,5.5,1408
145,"[10749, 18]",43949,en,Flipped,9.781,2010-08-06,Flipped,7.4,859
146,"[18, 27, 9648]",41402,en,Let Me In,9.716,2010-10-01,Let Me In,6.7,1061
147,"[18, 53]",38199,en,Unthinkable,9.693,2010-06-15,Unthinkable,6.7,623
148,[53],44363,en,Frozen,9.678,2010-02-05,Frozen,5.8,987
149,"[28, 35, 80, 53]",29564,en,Smokin' Aces 2: Assassins' Ball,9.565,2010-01-19,Smokin' Aces 2: Assassins' Ball,5.4,141
150,"[14, 18]",34647,en,Enter the Void,9.563,2010-09-24,Enter the Void,7.3,773
151,"[80, 27]",55890,en,Bereavement,9.55,2010-07-16,Bereavement,5.3,71
152,[99],44639,en,Inside Job,9.514,2010-10-08,Inside Job,7.8,466
153,"[80, 53]",101669,en,Mother's Day,9.496,2010-09-23,Mother's Day,6.4,193
154,"[27, 53]",7340,en,Carrie,9.467,1976-11-03,Carrie,7.1,1766
155,"[18, 10749]",37950,en,Charlie St. Cloud,9.454,2010-05-01,Charlie St. Cloud,6.9,1398
156,"[35, 10751]",35169,en,Furry Vengeance,9.45,2010-04-02,Furry Vengeance,4.6,283
157,"[80, 35, 18]",45324,en,Casino Jack,9.432,2010-12-17,Casino Jack,6.1,149
158,"[35, 10749, 10770, 10402]",35558,en,Starstruck,9.406,2010-02-14,Starstruck,6.7,627
159,"[10749, 35]",39285,en,Beauty & the Briefcase,9.405,2010-04-18,Beauty & the Briefcase,5.5,250
160,"[18, 27, 9648, 53]",36419,en,After.Life,9.395,2009-11-07,After.Life,5.7,416
161,"[35, 18]",44009,en,Another Year,9.394,2010-12-29,Another Year,7.0,150
162,"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,2010-05-14,Letters to Juliet,6.9,1706
163,[18],27585,en,Rabbit Hole,9.389,2010-12-16,Rabbit Hole,6.8,292
164,"[28, 35]",44147,en,Wild Target,9.355,2010-10-29,Wild Target,6.4,356
165,"[27, 18, 53]",38358,en,The Last Exorcism,9.35,2010-08-27,The Last Exorcism,5.6,519
166,"[53, 18]",43549,en,The Experiment,9.261,2010-07-15,The Experiment,6.5,553
167,"[16, 10751, 35]",50135,de,Konferenz der Tiere,9.258,2010-10-07,Animals United,5.4,151
168,"[18, 28, 35, 53, 80]",26715,en,Bitch Slap,9.253,2010-01-08,Bitch Slap,4.7,148
169,"[10749, 35]",41211,fr,L'arnacoeur,9.241,2010-09-10,Heartbreaker,6.6,761
170,"[18, 10751, 10749]",35690,en,The Last Song,9.237,2010-03-31,The Last Song,7.2,2199
171,[35],48415,it,Benvenuti al sud,9.188,2010-12-20,Welcome to the South,6.7,1071
172,"[35, 27]",46838,en,Tucker and Dale vs. Evil,9.159,2010-01-22,Tucker and Dale vs. Evil,7.3,1427
173,"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,2010-12-17,Yogi Bear,5.3,387
174,"[80, 18, 53]",38542,en,The Disappearance of Alice Creed,9.087,2010-04-30,The Disappearance of Alice Creed,6.6,280
175,[18],36950,en,You Don't Know Jack,9.071,2010-04-14,You Don't Know Jack,7.0,176
176,[18],39486,en,Secretariat,9.059,2010-10-08,Secretariat,7.0,200
177,"[80, 18, 53]",27579,en,The American,9.042,2010-09-01,The American,5.8,690
178,"[18, 10749]",46705,en,Blue Valentine,8.994,2010-12-29,Blue Valentine,6.9,1677
179,"[35, 27]",40264,en,Vampires Suck,8.992,2010-08-18,Vampires Suck,4.1,658
180,"[18, 10752, 9648]",46738,fr,Incendies,8.973,2010-09-04,Incendies,8.1,1034
181,"[28, 80, 18, 53]",22907,en,Takers,8.969,2010-08-26,Takers,6.2,605
182,"[16, 35, 878]",278604,en,"Family Guy Presents: Something, Something, Something, Dark Side",8.956,2010-05-23,"Family Guy Presents: Something, Something, Something, Dark Side",7.1,194
183,"[28, 12, 16, 10751, 878]",45162,en,Superman/Batman: Apocalypse,8.884,2010-09-28,Superman/Batman: Apocalypse,7.0,291
184,"[878, 28]",42684,en,Skyline,8.847,2010-11-12,Skyline,4.8,833
185,"[28, 35, 80]",23742,en,Cop Out,8.82,2010-02-26,Cop Out,5.4,796
186,"[18, 53, 9648]",28211,en,Chloe,8.807,2010-03-26,Chloe,5.9,940
187,"[18, 27, 878]",52015,en,Stake Land,8.799,2010-10-01,Stake Land,6.2,415
188,"[10752, 18, 36, 28]",50618,ru,Брестская крепость,8.769,2010-11-11,Fortress of War,7.3,75
189,"[99, 10751]",59490,en,Cave of Forgotten Dreams,8.762,2010-11-03,Cave of Forgotten Dreams,7.3,143
190,"[12, 27, 53]",34480,en,The Descent: Part 2,8.741,2010-04-27,The Descent: Part 2,6.0,480
191,"[28, 12, 53]",44918,en,Titanic II,8.729,2010-08-24,Titanic 2,3.2,90
192,"[28, 12, 16, 27]",31967,en,Dante's Inferno: An Animated Epic,8.711,2010-02-09,Dante's Inferno: An Animated Epic,6.0,102
193,"[28, 80, 53]",37645,fr,L'Immortel,8.697,2010-03-24,22 Bullets,6.5,508
194,[99],39452,en,Exit Through the Gift Shop,8.696,2010-01-24,Exit Through the Gift Shop,7.7,467
195,"[18, 10749]",48650,es,Habitación en Roma,8.682,2010-11-11,Room in Rome,6.1,236
196,"[18, 10749]",42297,en,Burlesque,8.676,2010-11-23,Burlesque,7.1,1195
197,"[35, 18]",56272,en,Elektra Luxx,8.595,2010-03-14,Elektra Luxx,4.9,74
198,"[18, 53, 80]",68341,ja,冷たい熱帯魚,8.582,2010-07-05,Cold Fish,6.6,113
199,"[14, 18, 27, 10749]",52587,de,Wir sind die Nacht,8.57,2010-11-11,We Are the Night,6.2,129
200,"[18, 10749]",56743,en,Elena Undone,8.531,2010-06-25,Elena Undone,7.2,81
201,"[53, 27]",34583,en,The Final,8.517,2010-01-28,The Final,5.6,131
202,"[27, 35, 53]",43919,en,Hatchet II,8.513,2010-10-01,Hatchet II,5.5,160
203,[35],45523,en,Louis C.K.: Hilarious,8.504,2010-01-26,Louis C.K.: Hilarious,8.0,127
204,"[80, 53, 35, 9648]",27004,en,Ca$h,8.503,2010-01-01,Ca$h,5.8,112
205,"[10751, 35]",38579,en,Marmaduke,8.487,2010-06-04,Marmaduke,5.1,367
206,[35],32823,en,Get Him to the Greek,8.485,2010-06-04,Get Him to the Greek,5.9,980
207,"[10749, 878]",59457,en,Womb,8.483,2010-07-15,Womb,6.1,159
208,"[18, 80]",48838,en,London Boulevard,8.469,2010-11-12,London Boulevard,5.9,409
209,"[53, 18, 28, 80]",40720,en,Twelve,8.46,2010-07-30,Twelve,5.9,147
210,"[14, 18, 28, 53, 16]",71883,ja,レドライン,8.436,2010-09-23,Redline,7.4,110
211,"[35, 18]",39781,en,The Kids Are All Right,8.426,2010-07-09,The Kids Are All Right,6.6,854
212,"[28, 12, 14, 27]",12685,en,BloodRayne: The Third Reich,8.419,2010-11-05,BloodRayne: The Third Reich,3.7,83
213,"[9648, 53]",11761,it,Peacock,8.414,2010-04-20,Peacock,6.1,104
214,"[14, 27, 53]",46261,en,Don't Be Afraid of the Dark,8.405,2010-11-06,Don't Be Afraid of the Dark,5.5,550
215,"[16, 18]",41201,fr,L'illusionniste,8.404,2010-12-25,The Illusionist,7.4,280
216,"[18, 53]",44113,en,Stone,8.401,2010-10-22,Stone,5.2,334
217,[18],31007,en,Welcome to the Rileys,8.348,2010-10-29,Welcome to the Rileys,6.5,241
218,"[35, 18, 14, 27, 9648]",45649,en,Rubber,8.319,2010-09-01,Rubber,5.9,417
219,"[53, 28, 18]",30618,en,Bunraku,8.282,2010-09-01,Bunraku,5.9,161
220,"[35, 18, 10749]",38073,en,Going the Distance,8.281,2010-09-03,Going the Distance,6.0,394
221,"[27, 53]",52274,es,Los ojos de Julia,8.268,2010-10-29,Julia's Eyes,6.7,415
222,"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,2010-12-03,The Warrior's Way,6.1,203
223,"[18, 10749]",23830,en,Last Night,8.244,2010-09-18,Last Night,6.1,444
224,"[35, 18, 9648]",44718,en,Get Low,8.215,2010-01-22,Get Low,6.7,135
225,"[35, 18, 10749]",40794,it,Mine vaganti,8.202,2010-04-28,Loose Cannons,7.4,310
226,"[18, 10402]",27586,en,The Runaways,8.19,2010-03-19,The Runaways,6.4,448
227,"[18, 10749]",51736,en,Bloomington,8.176,2010-06-23,Bloomington,6.6,65
228,"[27, 53]",41436,en,Paranormal Activity 2,8.163,2010-10-21,Paranormal Activity 2,5.7,1342
229,"[12, 16, 10751, 35]",43956,en,Tom and Jerry Meet Sherlock Holmes,8.142,2010-08-24,Tom and Jerry Meet Sherlock Holmes,6.6,19
230,"[18, 28, 53, 80]",13635,fr,L'Instinct de mort,8.131,2010-08-27,Mesrine: Killer Instinct,7.4,434
231,"[28, 27, 878]",52454,en,Mega Shark vs. Crocosaurus,8.129,2010-12-21,Mega Shark vs. Crocosaurus,2.7,60
232,"[16, 18, 878, 53]",36800,en,Metropia,8.113,2010-05-12,Metropia,6.3,82
233,[18],44129,en,The Company Men,8.109,2010-10-21,The Company Men,6.6,349
234,"[16, 10751, 35, 12, 10749]",12819,en,Alpha and Omega,8.108,2010-09-17,Alpha and Omega,5.4,227
235,"[10770, 18, 10751, 14]",50479,en,Avalon High,8.098,2010-11-12,Avalon High,6.1,313
236,"[27, 53]",42941,en,30 Days of Night: Dark Days,8.086,2010-10-05,30 Days of Night: Dark Days,4.7,218
237,"[16, 35, 10751]",54559,en,Minions: Orientation Day,8.053,2010-12-13,Minions: Orientation Day,6.9,117
238,"[16, 28, 878]",30675,en,Planet Hulk,8.053,2010-02-02,Planet Hulk,6.7,185
239,"[18, 53]",44982,en,13,8.007,2010-03-12,13,5.7,392
240,"[27, 878]",29426,en,Survival of the Dead,7.964,2010-05-28,Survival of the Dead,4.8,199
241,[18],53399,it,La solitudine dei numeri primi,7.959,2010-10-10,The Solitude of Prime Numbers,5.8,218
242,"[18, 28, 53]",34179,zh,錦衣衛,7.948,2010-02-04,14 Blades,6.6,87
243,"[10751, 16]",44874,en,Barbie: A Fashion Fairytale,7.947,2010-09-14,Barbie: A Fashion Fairytale,6.8,228
244,"[27, 35, 878, 53, 10770, 28]",46020,en,Sharktopus,7.943,2010-09-25,Sharktopus,4.4,69
245,"[18, 27, 53]",39957,en,Burning Bright,7.938,2010-08-17,Burning Bright,6.0,113
246,"[18, 14]",44603,en,Hereafter,7.886,2010-10-22,Hereafter,5.9,848
247,"[18, 9648, 53, 80, 10749]",46503,en,All Good Things,7.871,2010-12-03,All Good Things,6.0,493
248,"[18, 28, 35, 80]",34769,en,Defendor,7.863,2010-02-26,Defendor,6.4,295
249,"[27, 28, 53, 878]",74471,en,The Dead,7.841,2010-10-07,The Dead,5.7,89
250,"[16, 10751]",40619,en,Day & Night,7.835,2010-06-17,Day & Night,7.7,438
251,"[28, 35, 80]",44425,hi,दबंग्ग,7.831,2010-09-10,Dabangg,6.2,73
252,"[53, 9648]",11439,en,The Ghost Writer,7.829,2010-02-12,The Ghost Writer,6.8,1135
253,"[18, 28, 53]",12645,en,Inhale,7.826,2010-10-01,Inhale,6.1,63
254,[35],35025,fr,Le Mac,7.825,2010-02-16,Le Mac,5.7,144
255,"[18, 53]",8999,en,Derailed,7.814,2005-11-11,Derailed,6.2,500
256,"[35, 10749]",34016,en,She's Out of My League,7.775,2010-03-12,She's Out of My League,6.1,970
257,[27],26466,en,Triangle,7.761,2010-02-02,Triangle,6.8,1094
258,"[18, 35]",39356,en,Boy,7.759,2012-03-02,Boy,7.5,149
259,[35],44269,fr,Tout ce qui Brille,7.756,2010-12-03,All That Glitters,6.4,456
260,"[35, 10749, 18]",41210,en,The Switch,7.745,2010-08-20,The Switch,6.1,1008
261,"[35, 18, 10749]",39053,en,Cyrus,7.735,2010-06-18,Cyrus,6.0,201
262,"[35, 10749]",136294,fr,"L'Amour, c'est mieux à deux",7.701,2010-06-29,The Perfect Date,5.6,118
