id,release_date,movie,production_budget,domestic_gross,worldwide_gross
51,"Nov 24, 2004",Alexander,"$155,000,000","$34,297,191","$167,297,191"
52,"Jul 14, 2017",War for the Planet of the Apes,"$152,000,000","$146,880,162","$489,592,267"
53,"May 25, 2001",Pearl Harbor,"$151,500,000","$198,539,855","$449,239,855"
54,"Jul 2, 2007",Transformers,"$151,000,000","$319,246,193","$708,272,592"
55,"Jun 2, 2017",Wonder Woman,"$150,000,000","$412,563,408","$821,133,378"
56,"Nov 22, 2013",Frozen,"$150,000,000","$400,738,009","$1,272,469,910"
57,"Mar 4, 2016",Zootopia,"$150,000,000","$341,268,248","$1,019,429,616"
58,"Jul 11, 2007",Harry Potter and the Order of the Phoenix,"$150,000,000","$292,137,260","$943,076,457"
59,"Nov 18, 2005",Harry Potter and the Goblet of Fire,"$150,000,000","$290,201,752","$897,099,794"
60,"May 15, 2003",The Matrix Reloaded,"$150,000,000","$281,553,689","$738,576,929"
61,"Dec 14, 2007",I am Legend,"$150,000,000","$256,393,010","$585,532,684"
62,"Nov 23, 2016",Moana,"$150,000,000","$248,757,044","$637,517,365"
63,"Jul 1, 2008",Hancock,"$150,000,000","$227,946,274","$624,234,272"
64,"Jul 15, 2005",Charlie and the Chocolate Factory,"$150,000,000","$206,459,076","$475,825,484"
65,"Jun 29, 2007",Ratatouille,"$150,000,000","$206,445,654","$626,549,695"
66,"Nov 8, 2013",Thor: The Dark World,"$150,000,000","$206,362,140","$644,602,516"
67,"Jun 15, 2005",Batman Begins,"$150,000,000","$205,343,774","$359,142,722"
68,"Jul 31, 2015",Mission: ImpossibleâRogue Nation,"$150,000,000","$195,042,377","$688,858,992"
69,"Jul 21, 2017",Dunkirk,"$150,000,000","$190,068,280","$499,837,368"
70,"May 6, 2011",Thor,"$150,000,000","$181,030,624","$449,326,618"
71,"Nov 7, 2008",Madagascar: Escape 2 Africa,"$150,000,000","$180,174,880","$599,680,774"
72,"May 1, 2009",X-Men Origins: Wolverine,"$150,000,000","$179,883,157","$374,825,760"
73,"May 22, 2009",Night at the Museum: Battle of the Smithsonian,"$150,000,000","$177,243,721","$402,231,063"
74,"May 26, 2011",Kung Fu Panda 2,"$150,000,000","$165,249,063","$664,837,547"
75,"May 15, 2015",Mad Max: Fury Road,"$150,000,000","$153,636,354","$370,098,020"
76,"May 10, 2019",PokÃ©mon: Detective Pikachu,"$150,000,000","$139,507,806","$411,258,433"
77,"Nov 5, 2003",The Matrix Revolutions,"$150,000,000","$139,270,910","$427,300,260"
78,"Mar 29, 2018",Ready Player One,"$150,000,000","$137,690,172","$579,290,136"
79,"Nov 4, 2005",Chicken Little,"$150,000,000","$135,386,665","$310,043,823"
80,"May 5, 2006",Mission: Impossible III,"$150,000,000","$133,501,348","$397,501,348"
81,"May 15, 2009",Angels & Demons,"$150,000,000","$133,375,846","$490,875,846"
82,"May 14, 2004",Troy,"$150,000,000","$133,298,577","$484,161,265"
83,"Jul 1, 2010",The Last Airbender,"$150,000,000","$131,772,187","$319,713,881"
84,"Nov 2, 2007",Bee Movie,"$150,000,000","$126,631,277","$287,594,577"
85,"Jul 24, 2009",G-Force,"$150,000,000","$119,436,770","$292,817,841"
86,"Nov 21, 2008",Bolt,"$150,000,000","$114,053,579","$328,015,029"
87,"Mar 30, 2012",Wrath of the Titans,"$150,000,000","$83,670,083","$305,270,083"
88,"Nov 16, 2007",Beowulf,"$150,000,000","$82,280,579","$195,080,579"
89,"May 11, 2012",Dark Shadows,"$150,000,000","$79,727,149","$238,202,668"
90,"Jun 28, 2013",White House Down,"$150,000,000","$73,103,784","$205,440,387"
91,"Feb 12, 2010",The Wolfman,"$150,000,000","$62,189,884","$142,634,358"
92,"Feb 17, 2017",The Great Wall,"$150,000,000","$45,157,105","$334,486,852"
93,"Oct 9, 2015",Pan,"$150,000,000","$35,088,320","$151,525,973"
94,"Mar 11, 2011",Mars Needs Moms,"$150,000,000","$21,392,758","$39,549,758"
95,"Dec 31, 2020",Moonfall,"$150,000,000",$0,$0
96,"Nov 3, 2006",Flushed Away,"$149,000,000","$64,665,672","$179,357,126"
97,"Jun 8, 2012",Madagascar 3: Europe's Most Wanted,"$145,000,000","$216,391,482","$746,921,271"
98,"Dec 16, 2011",Mission: ImpossibleâGhost Protocol,"$145,000,000","$209,397,903","$694,713,230"
99,"Jun 13, 2014",How to Train Your Dragon 2,"$145,000,000","$177,002,924","$614,586,270"
100,"Jun 16, 1999",Tarzan,"$145,000,000","$171,091,819","$448,191,819"
1,"Mar 7, 2014",Mr. Peabody & Sherman,"$145,000,000","$111,506,430","$269,806,430"
2,"Nov 21, 2012",Rise of the Guardians,"$145,000,000","$103,412,758","$306,900,902"
3,"Apr 8, 2005",Sahara,"$145,000,000","$68,671,925","$121,671,925"
4,"Jul 15, 2016",Ghostbusters,"$144,000,000","$128,350,574","$229,008,658"
5,"Nov 22, 2002",Die Another Day,"$142,000,000","$160,942,139","$431,942,139"
6,"Jul 9, 2003",Pirates of the Caribbean: The Curse of the Black Pearl,"$140,000,000","$305,411,224","$634,954,103"
7,"May 8, 2009",Star Trek,"$140,000,000","$257,730,019","$386,839,614"
8,"Jul 1, 1998",Armageddon,"$140,000,000","$201,578,182","$554,600,000"
9,"Jul 3, 2002",Men in Black 2,"$140,000,000","$190,418,803","$441,767,803"
10,"Jul 22, 2011",Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776"
11,"Jan 29, 2016",Kung Fu Panda 3,"$140,000,000","$143,528,619","$517,599,142"
12,"Jul 10, 1998",Lethal Weapon 4,"$140,000,000","$130,444,603","$285,400,000"
13,"Mar 27, 2013",G.I. Joe: Retaliation,"$140,000,000","$122,523,060","$375,740,705"
14,"Dec 5, 2003",The Last Samurai,"$140,000,000","$111,110,575","$456,810,575"
15,"Dec 21, 2005",Fun With Dick And Jane,"$140,000,000","$110,550,000","$203,018,919"
16,"Dec 12, 2014",Exodus: Gods and Kings,"$140,000,000","$65,014,513","$268,314,513"
17,"Jul 1, 2016",The BFG,"$140,000,000","$55,483,770","$199,646,680"
18,"Feb 26, 2016",Gods of Egypt,"$140,000,000","$31,153,464","$138,836,756"
19,"May 3, 2002",Spider-Man,"$139,000,000","$403,706,375","$821,706,375"
20,"Mar 6, 2009",Watchmen,"$138,000,000","$107,509,799","$186,976,250"
21,"Jul 29, 2005",Stealth,"$138,000,000","$32,116,746","$76,416,746"
22,"Jun 13, 2008",The Incredible Hulk,"$137,500,000","$134,806,913","$265,573,859"
23,"Jun 20, 2003",Hulk,"$137,000,000","$132,177,234","$245,075,434"
24,"Jul 11, 2001",Final Fantasy: The Spirits Within,"$137,000,000","$32,131,830","$85,131,830"
25,"Nov 16, 2012","The Twilight Saga: Breaking Dawn, Part 2","$136,200,000","$292,324,737","$829,724,737"
26,"Mar 22, 2013",The Croods,"$135,000,000","$187,168,425","$573,068,425"
27,"Dec 25, 2015",The Revenant,"$135,000,000","$183,637,894","$532,938,302"
28,"Nov 19, 1999",The World is Not Enough,"$135,000,000","$126,930,660","$361,730,660"
29,"Mar 4, 2011",Rango,"$135,000,000","$123,477,607","$245,724,600"
30,"Nov 14, 2003",Master and Commander: The Far Side of the World,"$135,000,000","$93,926,386","$212,912,137"
31,"Jul 17, 2013",Turbo,"$135,000,000","$83,028,130","$286,896,578"
32,"Jun 3, 2016",Teenage Mutant Ninja Turtles: Out of the Shadows,"$135,000,000","$82,051,601","$245,328,374"
33,"Nov 18, 2011",Happy Feet Two,"$135,000,000","$64,006,466","$157,956,466"
34,"Jul 28, 2006",Miami Vice,"$135,000,000","$63,478,838","$163,818,556"
35,"Nov 2, 2018",The Nutcracker and the Four Realms,"$132,900,000","$54,858,851","$170,293,899"
36,"Jun 29, 2005",War of the Worlds,"$132,000,000","$234,280,354","$606,836,535"
37,"Nov 26, 2014",Penguins of Madagascar,"$132,000,000","$83,350,911","$366,942,531"
38,"Nov 22, 2013",The Hunger Games: Catching Fire,"$130,000,000","$424,668,047","$864,868,047"
39,"Jun 4, 2004",Harry Potter and the Prisoner of Azkaban,"$130,000,000","$249,757,726","$796,907,323"
40,"Aug 3, 2007",The Bourne Ultimatum,"$130,000,000","$227,471,070","$444,043,396"
41,"Jul 6, 2018",Ant-Man and the Wasp,"$130,000,000","$216,648,740","$623,144,660"
42,"Jun 6, 2008",Kung Fu Panda,"$130,000,000","$215,434,591","$631,910,531"
43,"Jul 17, 2015",Ant-Man,"$130,000,000","$180,202,163","$518,858,449"
44,"Mar 27, 2015",Home,"$130,000,000","$177,397,510","$385,997,896"
45,"Dec 19, 2018",Mary Poppins Returns,"$130,000,000","$171,958,438","$341,528,518"
46,"Oct 28, 2011",Puss in Boots,"$130,000,000","$149,260,504","$554,987,477"
47,"Nov 5, 2010",Megamind,"$130,000,000","$148,415,853","$321,887,208"
48,"Jul 18, 2003",Bad Boys II,"$130,000,000","$138,540,870","$273,271,982"
49,"Apr 11, 2014",Rio 2,"$130,000,000","$131,538,435","$492,846,291"
50,"Jul 23, 2010",Salt,"$130,000,000","$118,311,368","$290,650,494"
51,"Mar 28, 2014",Noah,"$130,000,000","$101,200,044","$352,831,065"
52,"Dec 21, 2011",The Adventures of Tintin,"$130,000,000","$77,591,831","$373,993,951"
53,"May 31, 2013",After Earth,"$130,000,000","$60,522,097","$251,499,665"
54,"Nov 26, 2008",Australia,"$130,000,000","$49,554,002","$215,080,810"
55,"Jul 19, 2013",R.I.P.D.,"$130,000,000","$33,618,855","$79,076,678"
56,"Feb 22, 2019",How to Train Your Dragon: The Hidden World,"$129,000,000","$160,791,800","$519,258,283"
57,"Nov 18, 2011","The Twilight Saga: Breaking Dawn, Part 1","$127,500,000","$281,287,133","$689,420,051"
58,"May 19, 2000",Dinosaur,"$127,500,000","$137,748,063","$356,148,063"
59,"Mar 3, 2017",Logan,"$127,000,000","$226,277,068","$615,461,394"
60,"Dec 19, 2014",Night at the Museum: Secret of the Tomb,"$127,000,000","$113,746,621","$353,756,621"
61,"Jul 15, 2011",Harry Potter and the Deathly Hallows: Part II,"$125,000,000","$381,193,157","$1,341,693,157"
62,"Nov 21, 2014",The Hunger Games: Mockingjay - Part 1,"$125,000,000","$337,135,885","$766,575,131"
63,"Nov 16, 2001",Harry Potter and the Sorcererâs Stone,"$125,000,000","$317,871,467","$975,047,606"
64,"Nov 19, 2010",Harry Potter and the Deathly Hallows: Part I,"$125,000,000","$296,131,568","$960,431,568"
65,"May 19, 2006",The Da Vinci Code,"$125,000,000","$217,536,138","$767,820,459"
66,"May 2, 2003",X-Men 2,"$125,000,000","$214,949,694","$406,875,536"
67,"Apr 29, 2011",Fast Five,"$125,000,000","$210,031,325","$630,163,454"
68,"Aug 8, 2014",Teenage Mutant Ninja Turtles,"$125,000,000","$191,204,754","$485,004,754"
69,"Dec 16, 2011",Sherlock Holmes: A Game of Shadows,"$125,000,000","$186,848,418","$535,663,443"
70,"May 28, 2004",The Day After Tomorrow,"$125,000,000","$186,740,799","$556,319,450"
71,"Mar 31, 2017",The Boss Baby,"$125,000,000","$175,003,033","$510,878,762"
72,"Apr 1, 2010",Clash of the Titans,"$125,000,000","$163,214,888","$493,214,888"
73,"Nov 4, 2016",Trolls,"$125,000,000","$153,707,064","$344,150,134"
74,"May 19, 1998",Godzilla,"$125,000,000","$136,314,294","$376,000,000"
75,"Jun 8, 2012",Prometheus,"$125,000,000","$126,477,084","$402,448,265"
76,"Aug 10, 2012",The Bourne Legacy,"$125,000,000","$113,203,870","$280,355,920"
77,"Jun 20, 1997",Batman & Robin,"$125,000,000","$107,325,195","$238,317,814"
78,"Jul 13, 2018",Skyscraper,"$125,000,000","$68,420,120","$304,115,534"
79,"Aug 3, 2012",Total Recall,"$125,000,000","$58,877,969","$211,856,088"
80,"Dec 21, 2016",Assassinâs Creed,"$125,000,000","$54,647,948","$240,759,682"
81,"Jan 13, 2017",Monster Trucks,"$125,000,000","$33,370,166","$61,642,798"
82,"Aug 27, 1999",The 13th Warrior,"$125,000,000","$32,698,899","$61,698,899"
83,"Nov 17, 2000",How the Grinch Stole Christmas,"$123,000,000","$260,044,825","$345,141,403"
84,"May 24, 2000",Mission: Impossible 2,"$120,000,000","$215,409,889","$549,588,516"
85,"Jun 30, 2000",The Perfect Storm,"$120,000,000","$182,618,434","$328,711,434"
86,"Jul 29, 2016",Jason Bourne,"$120,000,000","$162,192,920","$416,168,316"
87,"Jun 15, 2007",Fantastic Four: Rise of the Silver Surfer,"$120,000,000","$131,921,738","$289,480,691"
88,"Nov 21, 2012",Life of Pi,"$120,000,000","$124,987,022","$620,912,003"
89,"Feb 16, 2007",Ghost Rider,"$120,000,000","$115,802,596","$229,545,589"
90,"Apr 13, 2018",Rampage,"$120,000,000","$101,028,233","$428,056,280"
91,"Jun 27, 2003",Charlie's Angels: Full Throttle,"$120,000,000","$100,814,328","$227,200,000"
92,"Aug 9, 2013",Elysium,"$120,000,000","$93,050,117","$286,192,091"
93,"Apr 19, 2013",Oblivion,"$120,000,000","$89,107,235","$287,916,633"
94,"Mar 24, 2017",Power Rangers,"$120,000,000","$85,364,450","$142,531,552"
95,"Jul 19, 2002",Stuart Little 2,"$120,000,000","$64,956,806","$166,000,000"
96,"Feb 12, 2014",RoboCop,"$120,000,000","$58,607,007","$242,981,799"
97,"Jun 11, 2004",The Chronicles of Riddick,"$120,000,000","$57,712,751","$107,212,751"
98,"Aug 7, 2015",Fantastic Four,"$120,000,000","$56,117,548","$167,849,187"
99,"May 9, 2008",Speed Racer,"$120,000,000","$43,945,766","$93,394,462"
100,"Jul 22, 2005",The Island,"$120,000,000","$35,818,913","$163,018,913"
1,"Dec 17, 2010",How Do You Know?,"$120,000,000","$30,212,620","$49,628,177"
2,"Jun 23, 2010",Knight and Day,"$117,000,000","$76,423,035","$258,751,370"
